id,q43_%dd,q43_%dr,q43_%dtotal,
28007,2,House,180,
28015,2,House,88,
28017,1,House,93,
28023,4,House,49,
28027,2,House,250,
28029,2,House,0,
28031,3,House,173,
28033,1,Senate,107,
28033,1,House,142,
28039,4,Senate,6,
28041,4,Senate,60,
28041,4,House,101,
28045,4,House,33,
28049,2,House,636,
28049,3,House,391,
28075,3,House,800,
28079,2,House,0,
28079,3,House,0,
28091,3,House,65,
28091,4,House,98,
28093,1,House,446,
28109,4,House,459,
28113,3,House,499,
28121,3,House,14,
28141,1,House,121,
28153,4,House,0,
28153,4,House,0,
28163,2,House,156,
30001,0,Senate,0,
30001,0,House,0,
30003,1,Senate,43,
30003,1,House,54,
30005,1,Senate,0,
30005,1,House,0,
30007,1,Senate,0,
30007,1,House,0,
30009,1,Senate,65,
30009,1,House,130,
30011,1,Senate,0,
30011,1,House,0,
30013,1,Senate,171,
30013,1,House,229,
30015,1,Senate,0,
30015,1,House,0,
30017,1,Senate,43,
30017,1,House,39,
30019,1,Senate,0,
30019,1,House,0,
30021,1,Senate,43,
30021,1,House,62,
30023,1,Senate,2,
30023,1,House,2,
30025,1,Senate,28,
30025,1,House,48,
30027,1,Senate,0,
30027,1,House,0,
30029,1,Senate,253,
30029,1,House,324,
30031,1,Senate,240,
30031,1,House,419,
30033,1,Senate,0,
30033,1,House,0,
30035,1,Senate,48,
30035,1,House,88,
30037,1,Senate,0,
30037,1,House,0,
30039,1,Senate,23,
30039,1,House,34,
30041,1,Senate,52,
30041,1,House,66,
30043,1,Senate,36,
30043,1,House,50,
30045,1,Senate,0,
30045,1,House,0,
30047,1,Senate,0,
30047,1,House,0,
30049,1,Senate,0,
30049,1,House,0,
30051,1,Senate,0,
30051,1,House,0,
30053,1,Senate,0,
30053,1,House,0,
30055,1,Senate,0,
30055,1,House,0,
30057,1,Senate,0,
30057,1,House,0,
30059,1,Senate,0,
30059,1,House,0,
30061,1,Senate,0,
30061,1,House,0,
30063,1,Senate,261,
30063,1,House,579,
30065,1,Senate,0,
30065,1,House,0,
30067,1,Senate,0,
30067,1,House,0,
30069,1,Senate,0,
30069,1,House,0,
30071,1,Senate,0,
30071,1,House,0,
30073,1,Senate,18,
30073,1,House,23,
30075,1,Senate,0,
30075,1,House,0,
30077,1,Senate,0,
30077,1,House,0,
30079,1,Senate,0,
30079,1,House,0,
30081,1,Senate,108,
30081,1,House,172,
30083,1,Senate,0,
30083,1,House,0,
30085,1,Senate,62,
30085,1,House,150,
30087,1,Senate,23,
30087,1,House,0,
30089,1,Senate,0,
30089,1,House,0,
30091,1,Senate,46,
30091,1,House,59,
30093,1,Senate,0,
30093,1,House,0,
30095,1,Senate,7,
30095,1,House,6,
30097,1,Senate,0,
30097,1,House,0,
30099,1,Senate,0,
30099,1,House,0,
30101,1,Senate,0,
30101,1,House,0,
30103,1,Senate,0,
30103,1,House,0,
30105,1,Senate,43,
30105,1,House,59,
30107,1,Senate,0,
30107,1,House,0,
30109,1,Senate,0,
30109,1,House,0,
30111,1,Senate,0,
30111,1,House,0,
53029,2,House,642,
53031,6,House,452,
53033,1,House,2603,
53033,2,House,9,
53033,7,House,6765,
53033,8,House,3840,
53033,9,House,3129,
53035,1,House,1068,
53035,6,House,885,
53037,4,House,197,
53039,4,House,221,
53041,3,House,665,
53043,5,House,114,
53045,6,House,530,
53047,5,House,292,
53049,3,House,210,
53051,5,House,130,
53053,6,House,2126,
53053,8,House,916,
53053,9,House,2002,
53055,2,House,180,
53057,2,House,1004,
53059,3,House,110,
53059,4,House,73,
53061,1,House,2320,
53061,2,House,1485,
53063,5,House,2960,
53065,5,House,374,
53067,3,House,1691,
53067,9,House,1173,
53069,3,House,60,
53071,5,House,561,
53073,2,House,1183,
53075,5,House,277,
53077,4,House,861,
56001,1,Senate,219,
56001,1,House,120,
56003,1,Senate,65,
56003,1,House,95,
56005,1,Senate,160,
56005,1,House,158,
56007,1,Senate,82,
56007,1,House,72,
56009,1,Senate,64,
56009,1,House,69,
56011,1,Senate,79,
56011,1,House,59,
56013,1,Senate,259,
56013,1,House,247,
56015,1,Senate,80,
56015,1,House,62,
56017,1,Senate,48,
56017,1,House,43,
56019,1,Senate,44,
56019,1,House,59,
56021,1,Senate,372,
56021,1,House,370,
56023,1,Senate,103,
56023,1,House,116,
56025,1,Senate,283,
56025,1,House,312,
56027,1,Senate,17,
56027,1,House,17,
56029,1,Senate,216,
56029,1,House,242,
56031,1,Senate,52,
56031,1,House,59,
56033,1,Senate,181,
56033,1,House,115,
56035,1,Senate,43,
56035,1,House,46,
56037,1,Senate,180,
56037,1,House,173,
56039,1,Senate,288,
56039,1,House,76,
56041,1,Senate,78,
56041,1,House,105,
56043,1,Senate,54,
56043,1,House,56,
56045,1,Senate,52,
56045,1,House,51,
60,1,House,0,
01001,2,House,327,
01003,1,House,None,
01005,2,House,170,
01007,6,House,1411,
01009,1,House,None,
01011,2,House,94,
01013,2,House,306,
01015,3,House,561,
01017,3,House,None,
01019,3,House,299,
01021,6,House,3565,
01023,7,House,1254,
01025,1,House,175,
01025,7,House,1287,
01029,179,House,3,
01031,2,House,202,
01033,5,House,None,
01035,2,House,257,
01037,3,House,152,
01037,6,House,328,
01039,2,House,414,
01041,2,House,206,
01043,4,House,644,
01045,7,House,226,
01047,7,House,2074,
01049,4,House,706,
01051,2,House,466,
01053,1,House,166,
01055,4,House,528,
01059,4,House,256,
01061,2,House,172,
01063,7,House,172,
01065,7,House,648,
01067,2,House,223,
01069,2,House,380,
01071,5,House,2687,
01075,4,House,199,
01077,5,House,5284,
01079,5,House,1611,
01081,3,House,503,
01083,5,House,4720,
01085,2,House,216,
01087,3,House,198,
01089,5,House,19036,
01091,7,House,1416,
01093,4,House,155,
01095,4,House,740,
01097,1,House,1238,
01103,4,House,834,
01103,5,House,3995,
01105,7,House,438,
01107,4,House,101,
01107,7,House,561,
01109,2,House,176,
01111,3,House,139,
01113,3,House,169,
01115,4,House,2,
01115,6,House,314,
01117,6,House,7778,
01119,7,House,899,
01121,3,House,325,
01123,3,House,456,
01127,4,House,272,
01129,1,House,202,
01131,7,House,787,
01133,4,House,183,
01027,3,House,158,
01057,4,House,262,
05001,1,House,0,
05003,4,House,125,
