,State,County,Tract,Drive,Carpooled,Transit,Walked,Other,MBSA,Service,Office,Construction,Production,IRural,IConstruction,IManufacturing,IWholesale,IRetail,IUtilities,IInformation,IFinance,IProfessional,ISocial,IRecreation,IOther,IPublic
168,AR,White,45910.15,126490.0,22545.0,645.0,4695.0,910.0,44070.0,28445.0,43015.0,19310.0,28400.0,5815.0,12875.0,19315.0,4190.0,24080.0,10700.0,2015.0,6420.0,9495.0,40375.0,12330.0,9595.0,6035.0
169,AR,Woodruff,49015.0,12830.0,1605.0,0.0,385.0,375.0,3725.0,2815.0,3625.0,2695.0,2640.0,2095.0,770.0,2295.0,420.0,2185.0,1125.0,205.0,690.0,310.0,3795.0,490.0,445.0,675.0
170,AR,Yell,285725.3,34705.0,7980.0,145.0,635.0,705.0,7915.0,7860.0,10540.0,7445.0,12915.0,3915.0,4045.0,12560.0,1170.0,5830.0,1735.0,555.0,875.0,2280.0,7195.0,2080.0,2020.0,2415.0
171,CA,Alameda,7821202.299999923,2306695.0,368080.0,394665.0,125725.0,106605.0,1580755.0,533855.0,848140.0,270200.0,348335.0,10350.0,222915.0,394175.0,118800.0,360655.0,195675.0,117885.0,238770.0,565190.0,778200.0,276970.0,170700.0,131000.0
172,CA,Alpine,500.0,1365.0,365.0,0.0,255.0,20.0,1305.0,390.0,410.0,205.0,255.0,90.0,195.0,110.0,15.0,75.0,175.0,30.0,35.0,255.0,655.0,280.0,215.0,435.0
173,CA,Amador,130.70000000000005,56795.0,5610.0,480.0,1650.0,1115.0,22565.0,16710.0,16600.0,8365.0,7350.0,2110.0,5785.0,3375.0,1040.0,9120.0,4755.0,1070.0,2210.0,6645.0,12590.0,11320.0,2900.0,8670.0
174,CA,Butte,4357.600000000005,328335.0,47185.0,5265.0,15970.0,15495.0,152240.0,95110.0,113370.0,46485.0,45595.0,15050.0,30475.0,30165.0,10815.0,56125.0,16470.0,7730.0,22935.0,40870.0,130110.0,51385.0,22255.0,18415.0
175,CA,Calaveras,150.05,71100.0,10955.0,1025.0,2420.0,825.0,30055.0,19700.0,23250.0,14070.0,9390.0,2120.0,10580.0,4795.0,2305.0,12630.0,6240.0,2295.0,5880.0,8085.0,19040.0,9140.0,5085.0,8270.0
176,CA,Colusa,75.0,30285.0,7720.0,205.0,1790.0,765.0,10475.0,7925.0,8300.0,9670.0,6365.0,9380.0,2865.0,2965.0,1270.0,4765.0,2525.0,255.0,2165.0,2270.0,5750.0,4060.0,2060.0,2405.0
177,CA,Contra Costa,3585561.549999984,1638555.0,282065.0,209445.0,40175.0,39705.0,996075.0,396845.0,626670.0,204600.0,190300.0,12110.0,188755.0,180890.0,69985.0,273640.0,124710.0,74600.0,245000.0,337030.0,497500.0,186780.0,120430.0,103060.0
178,CA,Del Norte,49550.9,32555.0,6520.0,65.0,2210.0,1070.0,13330.0,14335.0,11515.0,5040.0,3295.0,2635.0,2365.0,1570.0,740.0,5290.0,1850.0,835.0,1505.0,2990.0,12600.0,4285.0,1525.0,9325.0
179,CA,El Dorado,114546.34999999992,310970.0,45260.0,6095.0,8075.0,7410.0,161630.0,80950.0,108700.0,40125.0,32740.0,5650.0,36755.0,32925.0,10800.0,43745.0,17570.0,10920.0,34900.0,48395.0,77520.0,53370.0,20610.0,30985.0
180,CA,Fresno,44997.999999999935,1341775.0,222240.0,25820.0,38075.0,65160.0,522810.0,338395.0,466135.0,287375.0,226675.0,167590.0,118115.0,132795.0,81685.0,210955.0,84195.0,31265.0,96980.0,152655.0,422960.0,146455.0,85045.0,110695.0
181,CA,Glenn,3100.1500000000005,41930.0,7005.0,245.0,1915.0,475.0,14620.0,11890.0,12375.0,9935.0,9190.0,9860.0,2695.0,5235.0,2085.0,6605.0,3015.0,370.0,2160.0,4125.0,11705.0,4390.0,2825.0,2940.0
182,CA,Humboldt,105575.44999999998,211030.0,33825.0,3650.0,14980.0,11400.0,96825.0,65430.0,78425.0,36635.0,26765.0,12220.0,25165.0,18415.0,5815.0,37490.0,12905.0,5605.0,14820.0,23760.0,76285.0,35965.0,16455.0,19180.0
183,CA,Imperial,63960.89999999997,219515.0,31925.0,2715.0,7555.0,4055.0,69380.0,64935.0,76905.0,41515.0,34425.0,26260.0,16845.0,14135.0,8970.0,41405.0,19425.0,3280.0,13125.0,15990.0,66600.0,18720.0,11320.0,31085.0
184,CA,Inyo,115.0,29545.0,6290.0,80.0,2265.0,1825.0,11115.0,10095.0,12500.0,5410.0,4110.0,560.0,3710.0,1800.0,710.0,6430.0,3370.0,530.0,1510.0,1550.0,8520.0,7765.0,2315.0,4460.0
185,CA,Kern,25540.150000000023,1142735.0,260830.0,15585.0,27055.0,32095.0,404935.0,289035.0,354695.0,309635.0,196675.0,216920.0,115745.0,82160.0,50480.0,170650.0,82555.0,21245.0,71875.0,129235.0,299365.0,125040.0,75175.0,114530.0
186,CA,Kings,50231.64999999998,207395.0,44965.0,4580.0,7835.0,6930.0,61045.0,54945.0,52435.0,57130.0,38575.0,44700.0,10425.0,21330.0,7895.0,24630.0,13620.0,1840.0,8320.0,13175.0,49805.0,22120.0,12270.0,34000.0
187,CA,Lake,545.4499999999998,87375.0,13350.0,705.0,3865.0,2315.0,35200.0,26725.0,28480.0,18425.0,11825.0,5205.0,11090.0,4545.0,2940.0,16610.0,6200.0,1960.0,6535.0,9030.0,27380.0,14575.0,6935.0,7650.0
188,CA,Lassen,18150.7,38420.0,5315.0,595.0,3520.0,520.0,16660.0,14150.0,11765.0,5030.0,4800.0,2650.0,2780.0,1470.0,840.0,4975.0,1220.0,460.0,2180.0,2030.0,12960.0,4075.0,1835.0,14930.0
189,CA,Los Angeles,47905736.90000163,15865275.0,2489820.0,1558505.0,629080.0,451765.0,7821720.0,4015760.0,5887965.0,1918205.0,2970935.0,102675.0,1413700.0,2582410.0,876745.0,2406455.0,1177200.0,994160.0,1572890.0,2706725.0,4490650.0,2203505.0,1341450.0,746020.0
190,CA,Madera,498.9499999999997,171290.0,37535.0,445.0,4200.0,4090.0,62160.0,47305.0,61400.0,59025.0,32530.0,42910.0,19090.0,22800.0,6990.0,29685.0,12665.0,4945.0,11460.0,15595.0,49105.0,20250.0,12040.0,14885.0
191,CA,Marin,367346.15000000026,404835.0,57745.0,50270.0,20270.0,14995.0,319140.0,92525.0,143570.0,43190.0,27460.0,4820.0,43720.0,28730.0,18730.0,58490.0,18660.0,25235.0,70045.0,118505.0,130165.0,53220.0,35660.0,19905.0
192,CA,Mariposa,70.30000000000001,20685.0,4670.0,1170.0,4745.0,1365.0,10915.0,9290.0,7950.0,5895.0,3600.0,1720.0,3085.0,2000.0,380.0,2435.0,2735.0,520.0,1630.0,1815.0,7055.0,7800.0,1135.0,5340.0
193,CA,Mendocino,60450.4,133540.0,21965.0,910.0,9310.0,3835.0,56195.0,40365.0,45605.0,31725.0,20120.0,11405.0,19995.0,14705.0,5790.0,25055.0,6765.0,2605.0,8580.0,16915.0,40485.0,20575.0,9605.0,11530.0
194,CA,Merced,3009.3500000000045,344415.0,61475.0,2095.0,12955.0,17620.0,107735.0,84990.0,107235.0,91225.0,82705.0,55240.0,37315.0,57930.0,14920.0,56205.0,24425.0,8280.0,17295.0,27925.0,100315.0,33220.0,20470.0,20350.0
195,CA,Modoc,50.0,11205.0,2055.0,0.0,1860.0,585.0,6660.0,3955.0,3285.0,3085.0,1165.0,3765.0,1270.0,485.0,375.0,1405.0,985.0,190.0,365.0,1015.0,4265.0,1705.0,650.0,1675.0
196,CA,Mono,20.15,25205.0,5240.0,1315.0,4505.0,2410.0,14785.0,10545.0,9445.0,4070.0,2285.0,1570.0,3250.0,1175.0,0.0,4890.0,850.0,685.0,3530.0,4015.0,5695.0,11005.0,1865.0,2600.0
197,CA,Monterey,141852.7499999999,615770.0,134155.0,21130.0,34710.0,33720.0,244145.0,175120.0,195820.0,168530.0,97510.0,126660.0,55490.0,49930.0,28270.0,98150.0,30420.0,15840.0,42960.0,80050.0,169640.0,92140.0,42465.0,49110.0
198,CA,Napa,401884.80000000034,231210.0,39895.0,6035.0,12860.0,5520.0,110565.0,59385.0,71305.0,40575.0,37535.0,22090.0,22235.0,40415.0,9575.0,28925.0,13385.0,5400.0,17775.0,29340.0,67885.0,35760.0,14080.0,12500.0
199,CA,Nevada,602.1999999999996,164785.0,21635.0,1110.0,7105.0,3330.0,84110.0,39000.0,58895.0,28465.0,14850.0,3530.0,24785.0,14475.0,4405.0,29505.0,7900.0,4955.0,15725.0,25580.0,47860.0,20605.0,14280.0,11715.0
200,CA,Orange,1969027.50000003,5489635.0,757190.0,209820.0,138525.0,130310.0,2840435.0,1123715.0,1961570.0,528260.0,756060.0,34865.0,473705.0,991055.0,295145.0,780835.0,250420.0,158090.0,670715.0,987010.0,1286985.0,683015.0,376765.0,221435.0
201,CA,Placer,139592.64999999985,599235.0,73910.0,8220.0,12155.0,13880.0,319305.0,115740.0,223970.0,67855.0,54610.0,4945.0,68570.0,52960.0,22585.0,101520.0,35960.0,17895.0,78775.0,94320.0,152465.0,58075.0,35795.0,57615.0
202,CA,Plumas,110.3,32800.0,6370.0,20.0,1465.0,530.0,12540.0,9140.0,9045.0,8935.0,4815.0,3150.0,5405.0,2945.0,1270.0,3730.0,1970.0,400.0,3740.0,3270.0,9965.0,3510.0,2355.0,2765.0
203,CA,Riverside,1645502.300000014,3188030.0,614665.0,58200.0,71670.0,67775.0,1258345.0,826890.0,1154305.0,541245.0,544655.0,68515.0,428645.0,420800.0,152235.0,557670.0,226360.0,79195.0,263060.0,422160.0,840220.0,446310.0,215080.0,205190.0
204,CA,Sacramento,158167.19999999972,2282370.0,396735.0,94460.0,59935.0,68545.0,1157275.0,562300.0,860505.0,272365.0,277025.0,18855.0,234690.0,182460.0,91945.0,348895.0,151650.0,79980.0,247530.0,363760.0,643675.0,263565.0,154455.0,348010.0
205,CA,San Benito,280.45,85580.0,21025.0,4205.0,2415.0,1340.0,33920.0,19270.0,29890.0,23610.0,16800.0,14460.0,11675.0,16825.0,5150.0,13405.0,4880.0,735.0,8245.0,10010.0,20710.0,7305.0,4405.0,5685.0
206,CA,San Bernardino,246884.4000000001,3064770.0,612020.0,73300.0,79470.0,58620.0,1147310.0,732705.0,1112640.0,481390.0,645505.0,31280.0,354755.0,429715.0,165895.0,523070.0,315120.0,73810.0,232480.0,340120.0,879525.0,337815.0,200950.0,235015.0
207,CA,San Diego,443179.6000000044,5349245.0,752635.0,234755.0,207545.0,128840.0,2727940.0,1251045.0,1749200.0,605030.0,571320.0,51000.0,495070.0,636785.0,197835.0,744145.0,263440.0,175795.0,514340.0,983855.0,1372040.0,733515.0,361530.0,375185.0
208,CA,San Francisco,581802.7500000026,826855.0,172235.0,705845.0,212175.0,108395.0,1122565.0,369500.0,498625.0,102420.0,130030.0,4880.0,94870.0,132065.0,46500.0,202775.0,77525.0,106510.0,217215.0,433945.0,438875.0,270795.0,115985.0,81200.0
209,CA,San Joaquin,25343.05000000001,994430.0,199300.0,18745.0,23445.0,21060.0,383235.0,228365.0,351255.0,189050.0,206290.0,67340.0,112865.0,142570.0,54580.0,157730.0,85320.0,26350.0,81860.0,119030.0,275640.0,100285.0,63380.0,71245.0
210,CA,San Luis Obispo,79625.89999999994,438580.0,68170.0,6535.0,23745.0,19000.0,218215.0,124785.0,158420.0,63325.0,43055.0,20600.0,45980.0,37580.0,14885.0,75010.0,24840.0,11700.0,33790.0,66970.0,133235.0,70505.0,32380.0,40325.0
211,CA,San Mateo,4832915.349999988,1236735.0,193880.0,146775.0,48815.0,41200.0,780340.0,305965.0,452065.0,131445.0,134940.0,13120.0,103580.0,139955.0,55505.0,185875.0,106880.0,62360.0,157500.0,299795.0,367030.0,148015.0,98520.0,66620.0
212,CA,Santa Barbara,156097.34999999992,621950.0,144470.0,35700.0,43595.0,44670.0,337245.0,202805.0,217770.0,131160.0,81115.0,80055.0,60630.0,77975.0,24240.0,95205.0,25550.0,20745.0,51390.0,114105.0,216230.0,110805.0,50770.0,42395.0
213,CA,Santa Clara,9424101.199999884,3153090.0,419445.0,134380.0,90055.0,120805.0,2071745.0,591285.0,905555.0,299565.0,351120.0,22400.0,241955.0,834255.0,106980.0,404235.0,114570.0,170290.0,226590.0,747205.0,763395.0,298020.0,178625.0,110750.0
214,CA,Santa Cruz,348481.20000000024,432550.0,69150.0,18560.0,24945.0,25085.0,258610.0,109745.0,133180.0,80290.0,50075.0,36170.0,49290.0,58210.0,19905.0,65105.0,16195.0,14450.0,30395.0,74450.0,147345.0,61040.0,35980.0,23365.0
215,CA,Shasta,27454.49999999999,269920.0,36220.0,2275.0,6700.0,7860.0,113130.0,67590.0,98830.0,39735.0,31430.0,10385.0,30790.0,19425.0,9210.0,47250.0,14600.0,7565.0,22960.0,30945.0,89845.0,31165.0,17785.0,18790.0
216,CA,Sierra,500.0,5045.0,970.0,0.0,595.0,195.0,2880.0,1520.0,1380.0,1425.0,875.0,575.0,1560.0,565.0,210.0,385.0,380.0,0.0,390.0,1430.0,1370.0,470.0,320.0,425.0
217,CA,Siskiyou,460.29999999999984,59590.0,11015.0,640.0,3995.0,1840.0,27855.0,17410.0,21575.0,10760.0,9250.0,5075.0,6835.0,5785.0,1515.0,10175.0,3775.0,1320.0,4890.0,7100.0,21870.0,8195.0,4215.0,6100.0
218,CA,Solano,1246747.4500000048,700435.0,138520.0,24115.0,14545.0,12840.0,304765.0,172215.0,247320.0,101895.0,101730.0,12475.0,71180.0,85195.0,26060.0,111555.0,57190.0,21425.0,68800.0,79990.0,202460.0,77850.0,43685.0,70060.0
219,CA,Sonoma,802975.4500000031,841915.0,127415.0,22410.0,35420.0,23250.0,399420.0,218310.0,303545.0,132330.0,112305.0,32555.0,101740.0,115960.0,36650.0,153310.0,37935.0,27225.0,82825.0,128800.0,230770.0,107860.0,64900.0,45380.0
220,CA,Stanislaus,9159.750000000033,801020.0,112740.0,8415.0,19015.0,19265.0,279655.0,176090.0,259635.0,148915.0,172825.0,54110.0,88365.0,136070.0,41140.0,131035.0,53830.0,16030.0,47225.0,79330.0,218755.0,77790.0,54925.0,38515.0
221,CA,Sutter,53046.69999999998,141870.0,29610.0,2375.0,3225.0,3255.0,54710.0,32635.0,46600.0,33175.0,23700.0,15475.0,16140.0,14830.0,5325.0,26115.0,10395.0,2345.0,10005.0,13545.0,40510.0,13030.0,10050.0,13055.0
222,CA,Tehama,330.0,85710.0,13010.0,1145.0,3285.0,2295.0,29215.0,25935.0,26675.0,17585.0,15970.0,9495.0,8385.0,9800.0,2200.0,17955.0,5555.0,1525.0,5100.0,7930.0,26030.0,9405.0,5575.0,6425.0
223,CA,Trinity,55.15000000000001,15425.0,3840.0,210.0,1640.0,800.0,8670.0,5330.0,6140.0,3515.0,2410.0,1580.0,2665.0,1390.0,125.0,3670.0,1015.0,640.0,780.0,1365.0,5585.0,3690.0,1885.0,1675.0
224,CA,Tulare,8486.950000000032,597760.0,137490.0,6790.0,16730.0,20070.0,198370.0,151345.0,175555.0,187740.0,119245.0,141810.0,54315.0,66490.0,40555.0,88615.0,37570.0,7250.0,33230.0,50430.0,163360.0,58635.0,36565.0,53430.0
225,CA,Tuolumne,50835.15,79315.0,11265.0,725.0,2880.0,1335.0,30985.0,24350.0,26665.0,12645.0,10465.0,3085.0,10220.0,6430.0,1720.0,13340.0,4460.0,1220.0,4965.0,7520.0,23815.0,15470.0,5235.0,7630.0
226,CA,Ventura,140470.9499999998,1471365.0,235050.0,22285.0,38640.0,31455.0,719335.0,304870.0,499615.0,215705.0,186785.0,80160.0,122675.0,208795.0,69615.0,213260.0,63730.0,58410.0,169180.0,236595.0,348730.0,156760.0,95540.0,102860.0
227,CA,Yolo,21933.650000000005,301700.0,47250.0,15940.0,15170.0,39190.0,197445.0,71800.0,98175.0,44905.0,39785.0,15375.0,25815.0,20555.0,11625.0,47540.0,18160.0,8125.0,22940.0,47540.0,138805.0,37280.0,19755.0,38595.0
228,CA,Yuba,28405.45,102190.0,17690.0,765.0,3465.0,3010.0,35935.0,24285.0,34205.0,18325.0,18140.0,5925.0,12035.0,10080.0,3800.0,15420.0,9130.0,2970.0,6160.0,12175.0,26655.0,10115.0,6100.0,10325.0
229,CO,Adams,123274.61999999992,935790.0,160278.0,52410.0,18390.0,19134.0,344514.0,205356.0,339576.0,181020.0,180678.0,13518.0,147054.0,112470.0,57102.0,150324.0,95868.0,42510.0,79272.0,141270.0,187356.0,108876.0,60738.0,54786.0
230,CO,Alamosa,230436.0,29196.0,4326.0,0.0,3066.0,942.0,14028.0,7398.0,10374.0,5628.0,2556.0,2580.0,3270.0,888.0,696.0,5778.0,1866.0,774.0,1230.0,2100.0,14244.0,2682.0,1680.0,2196.0
