,level_0,State,County,Est. Citizen VAP,Active Registrations,Ballots Counted,Polling Places,Poll Workers,Year,Hours Open,Time to Vote
1536,1536,NE,Cass,19097,17923,12040,26,146,2004,12,152.48382057576433
1537,1537,NE,Cedar,6783,6369,4635,16,95,2004,12,171.80533751962324
1538,1538,NE,Chase,3135,2914,2000,7,35,2004,12,60.51457975986278
1539,1539,NE,Cherry,4551,4686,3110,19,120,2004,12,350.2453595050139
1540,1540,NE,Cheyenne,7587,6800,4789,5,51,2004,12,26.996029995588884
1541,1541,NE,Clay,5209,4974,3406,9,55,2004,12,71.63819095477388
1542,1542,NE,Colfax,6453,5682,3699,10,50,2004,12,63.34682386063699
1543,1543,NE,Cuming,7098,6622,4438,6,45,2004,12,29.35225728521818
1544,1544,NE,Custer,8612,8887,5704,15,119,2004,12,144.5994599459946
1545,1545,NE,Dakota,12592,10014,6740,12,66,2004,12,56.93859211183225
1546,1546,NE,Dawes,7070,5674,4062,11,33,2004,12,46.054625550660795
1547,1547,NE,Dawson,15288,13235,8802,19,80,2004,12,82.68359020852222
1548,1548,NE,Deuel,1630,1475,1081,3,18,2004,12,26.341463414634145
1549,1549,NE,Dixon,4380,4119,3054,9,63,2004,12,99.0873786407767
1550,1550,NE,Dodge,27069,21851,16603,32,138,2004,12,145.502471169687
1551,1551,NE,Douglas,339971,318347,209012,294,1705,2004,12,1133.7102793169738
1552,1552,NE,Dundy,1807,1420,1080,5,42,2004,12,106.4039408866995
1553,1553,NE,Fillmore,4821,4547,3240,11,61,2004,12,106.2269129287599
1554,1554,NE,Franklin,2668,2499,1769,9,60,2004,12,155.52
1555,1555,NE,Frontier,2257,2093,1517,7,35,2004,12,84.2406876790831
1556,1556,NE,Furnas,3925,3933,2546,8,40,2004,12,58.56634468734113
1557,1557,NE,Gage,18303,16821,10541,28,140,2004,12,167.7802877184639
1558,1558,NE,Garden,1794,1665,1225,4,20,2004,12,34.57382953181273
1559,1559,NE,Garfield,1407,1317,1021,2,15,2004,12,16.38846737481032
1560,1560,NE,Gosper,1627,1610,1139,4,16,2004,12,28.60335195530726
1561,1561,NE,Grant,556,512,408,1,5,2004,12,7.017543859649122
1562,1562,NE,Greeley,1911,1843,1310,4,20,2004,12,31.23644251626898
