,County,State,Total Pop.,VAP Males,VAP Females,Pop. 20 to 24,Pop. 25 to 34,Pop. 35 to 44,Pop. 45 to 54,Pop. 65 to 74,Pop. 75 to 84,Pop. 85+,Race Total Pop.,White,Black,Native,Asian,Islander,Other,Pop. 0 to 9,Pop. 10 to 19,Pop. 55 to 64,State Name,Active Voters,Ballots Cast,Polling Places,Poll Workers,Hours Open,Time to Vote
501,San Mateo,CA,769545,245430,259141,40911,114903,110968,106201,69894,35376,18768,769545,427169,25964,8736,256121,15971,90565,86724,86219,99581,CALIFORNIA,399351,290058,39.0,390.0,12,27.42249299488351
502,Broomfield,CO,69267,25240,24742,3043,10986,10576,9828,5724,3085,809,69267,62503,1334,302,6006,0,820,7991,8961,8264,COLORADO,45752,36943,3.0,30.0,12,1.4163315264903358
503,Brevard,FL,596849,228718,243812,29728,67701,62355,74409,76295,44346,20627,596849,512583,71966,5457,23487,838,7872,54631,68783,97974,FLORIDA,422606,284989,115.0,1180.0,12,231.194067287255
504,Flagler,FL,112067,42638,47094,4146,10675,10489,13039,19115,11325,4904,112067,94654,13115,0,3813,0,3264,9426,12102,16846,FLORIDA,82611,53327,24.0,181.0,12,37.86033336964353
505,Lee,FL,754610,268571,294726,36618,81667,77417,88551,118640,69928,27692,754610,642138,72276,1835,16286,1187,32177,69955,78485,105657,FLORIDA,446273,294541,124.0,1356.0,12,271.2771778709384
506,Polk,FL,708009,252051,269222,42694,92351,83977,85312,81146,47287,14993,708009,557405,118040,5619,16503,346,29140,82079,91488,86682,FLORIDA,417217,247331,147.0,1263.0,12,320.3990249678148
507,Champaign,IL,209983,76059,77964,31933,29217,23548,18809,15669,6987,3662,209983,155268,31162,1174,25698,0,2713,21424,35619,23115,ILLINOIS,124057,86767,103.0,536.0,12,320.41529297014114
508,Kankakee,IL,110024,40279,42471,8104,13855,12856,13184,10320,5261,2763,110024,90134,17867,872,1489,0,3015,13269,15927,14485,ILLINOIS,68513,37010,63.0,296.0,12,195.97098360892153
509,Sangamon,IL,195348,71205,78569,11502,23496,25012,24869,20374,9856,4453,195348,164881,28555,1482,5063,222,1010,22372,25480,27934,ILLINOIS,135830,87193,82.0,890.0,12,386.8482662150933
510,Winnebago,IL,284081,99157,106706,16328,35954,33488,35980,28470,14872,6226,284081,234037,42409,2015,9799,0,5368,35692,37713,39358,ILLINOIS,92949,52383,61.0,437.0,12,206.49001065097997
