,County,State,Total Pop.,VAP Males,VAP Females,Pop. 20 to 24,Pop. 25 to 34,Pop. 35 to 44,Pop. 45 to 54,Pop. 65 to 74,Pop. 75 to 84,Pop. 85+,Race Total Pop.,White,Black,Native,Asian,Islander,Other,Pop. 0 to 9,Pop. 10 to 19,Pop. 55 to 64,State Name,Active Voters,Ballots Cast,Polling Places,Poll Workers,Hours Open,Time to Vote
33,St. Louis,MN,199754,79830,80299,18224,23156,22083,22809,22338,10563,5692,199754,190937,5175,6788,3171,235,687,20401,24749,29739,MINNESOTA,128976,100579,139.0,1224.0,12,949.772981019651
34,Sherburne,MN,96036,35077,33534,5976,13345,13580,13641,6640,2593,1360,96036,90383,3813,1230,1773,0,733,13896,13298,11707,MINNESOTA,56926,39556,30.0,305.0,12,115.72919228470019
35,Lauderdale,MS,75317,26863,29722,4262,10176,8961,9426,7326,3859,1753,75317,40841,33608,0,798,0,0,10092,9738,9724,MISSISSIPPI,44585,23136,42.0,210.0,12,142.43355388580412
36,Lee,MS,85202,28803,32820,4817,10965,11913,10612,6900,4082,1115,85202,58022,25307,0,504,0,0,11887,11921,10990,MISSISSIPPI,48755,25717,36.0,180.0,12,95.69480053325901
37,Rankin,MS,153902,54991,61257,9759,21186,23510,19083,14472,6828,2160,153902,116320,33354,901,2397,0,2059,17624,20450,18830,MISSISSIPPI,89097,51777,51.0,255.0,12,105.09444762448734
38,Douglas,NE,566880,189736,201804,36688,88115,75845,66217,44590,19531,9740,566880,463119,71679,9663,28050,488,14612,82221,77956,65977,NEBRASKA,310215,207077,220.0,1764.0,12,900.7224022048932
39,Lancaster,NE,317272,116773,115837,34499,44431,40555,33440,26715,11966,5149,317272,284465,18137,4985,17736,380,6325,39882,44800,35835,NEBRASKA,173823,118145,150.0,1002.0,12,622.5643326832109
40,Sarpy,NE,184459,64962,65440,11545,26135,26478,22749,13398,5890,2881,184459,165093,11009,2012,7653,571,6617,27951,27240,20192,NEBRASKA,102971,68246,45.0,353.0,12,111.07204941195957
41,Cape May,NJ,92560,37802,38748,5483,10592,8476,11974,13585,7848,2635,92560,85163,4704,0,1913,0,3416,7482,8509,15976,NEW JERSEY,65902,42143,49.0,502.0,12,268.74085763705676
42,Cumberland,NJ,150972,55668,53081,8797,21101,21189,19057,13681,7224,2317,150972,102519,33314,3056,2704,0,15112,18445,20827,18334,NEW JERSEY,82596,42039,65.0,425.0,12,240.81069301173895
43,San Juan,NM,125043,44948,45908,6680,16918,16191,13323,11230,5648,2223,125043,69361,1901,52479,1566,0,3406,17530,19184,16116,NEW MEXICO,37563,37601,44.0,262.0,12,220.96637648744218
44,Santa Fe,NM,150056,50788,57723,7466,16579,17106,18728,23437,10401,2730,150056,130356,2404,6534,3050,162,14069,13412,16984,23213,NEW MEXICO,65286,65398,73.0,200.0,12,161.0146126274912
45,St. Lawrence,NY,108047,42904,40938,8883,12367,11597,14073,10731,5187,2550,108047,101312,3366,1249,1627,298,1610,11575,16098,14986,NEW YORK,59370,34103,46.0,308.0,12,171.82011116722725
46,Ulster,NY,178599,69705,71506,12870,22521,21087,23993,20406,10321,4398,178599,158799,14456,2020,4867,0,8785,15827,19745,27431,NEW YORK,118268,79790,83.0,630.0,12,318.3346298237631
47,Cabarrus,NC,211342,70015,79142,11245,26666,30120,31063,16885,8252,3071,211342,155649,43697,0,9710,952,8727,27455,32118,24467,NORTH CAROLINA,116457,74413,47.0,381.0,12,110.71073443415932
48,Cumberland,NC,332330,119035,122152,33010,56920,38739,36195,23590,12868,3700,332330,180752,136373,10217,14643,2917,10916,46439,45781,35088,NORTH CAROLINA,162989,94223,78.0,467.0,12,160.91098172268306
49,Guilford,NC,533670,177084,208990,38375,73398,65553,70507,47619,22257,10598,533670,304206,189995,7021,31449,210,18258,62772,75726,66865,NORTH CAROLINA,306103,202467,166.0,1238.0,12,483.38552709380554
50,Wake,NC,1092305,364232,399554,69280,160749,162889,156345,79867,34402,12571,1092305,733635,244091,15388,91254,2375,53451,138587,153210,124405,NORTH CAROLINA,645373,439278,205.0,2059.0,12,470.9034930187586
51,Lake,OH,230514,85346,92588,12685,26979,26814,31631,26430,14070,5847,230514,213368,13674,1418,4361,0,3229,23526,27181,35351,OHIO,158698,97198,57.0,686.0,12,177.4026137695385
52,Lorain,OH,309461,115592,121805,20119,33439,37345,41272,33246,16565,7094,309461,274543,32511,2645,5325,0,4461,36287,39658,44436,OHIO,214629,116696,81.0,782.0,12,212.4887130816333
53,Lucas,OH,429899,154362,170128,28063,60107,49641,53205,41432,20316,8461,429899,329578,95614,4218,10002,825,16414,52892,56840,58942,OHIO,307175,157064,131.0,1165.0,12,357.7205176202374
54,Summit,OH,541918,200601,218453,33039,71406,64317,70180,56533,27869,13065,541918,436550,88277,3580,24017,0,5588,60253,66221,79035,OHIO,373089,218063,186.0,2355.0,12,845.3253781269121
55,Creek,OK,71604,26156,27578,3761,8554,8905,9141,7295,3369,1760,71604,60597,2502,11631,867,0,1450,9339,9477,10003,OKLAHOMA,35671,22762,35.0,102.0,12,72.05853494433235
56,Payne,OK,82040,32273,30636,14944,11136,8320,6720,6554,3085,1341,82040,72204,3949,7247,4386,0,256,8823,13297,7820,OKLAHOMA,34931,22832,31.0,92.0,12,58.78560590877479
57,Rogers,OK,91984,34178,35290,5649,11283,11593,12046,8932,4481,1574,91984,76049,2106,19326,1828,0,619,11377,12297,12752,OKLAHOMA,49991,33221,36.0,146.0,12,75.7000260046657
58,Tulsa,OK,648360,215602,236431,40989,95003,83609,76971,55676,26668,10975,648360,504709,81431,72117,26143,977,17397,90175,90000,78294,OKLAHOMA,307160,203238,262.0,894.0,12,549.0433650214693
59,Berkeley,SC,221091,79239,82618,14011,32847,29123,28160,19795,8466,2548,221091,154168,56207,2593,7734,716,8498,31533,27623,26985,SOUTH CAROLINA,138353,66516,58.0,354.0,12,106.85015865213569
60,Sumter,SC,106512,38166,42668,7518,14955,12171,12835,10268,5428,1872,106512,51266,54847,0,2069,0,1329,13191,14864,13410,SOUTH CAROLINA,75135,34817,60.0,322.0,12,185.13875024952617
61,Davidson,TN,692587,235668,264094,49227,140164,95905,80739,51192,23309,9949,692587,451752,194562,5326,31086,1197,26309,86270,75783,80049,TENNESSEE,392977,245860,162.0,1421.0,12,421.7688058079628
62,Hamilton,TN,364286,130885,147320,22804,52159,44643,46475,37068,18651,7878,364286,283702,74014,2832,9330,1399,3132,41984,43447,49177,TENNESSEE,206945,134946,73.0,888.0,12,225.53470728936549
63,Robertson,TN,71012,25094,27189,3998,9238,8508,10013,6282,3244,604,71012,62741,6041,1831,558,0,2104,8883,9822,10420,TENNESSEE,38977,24296,18.0,185.0,12,61.51320009234639
64,Washington,TN,128607,48043,51869,11632,15933,15253,16937,13610,6928,2967,128607,119521,6923,876,2757,0,1689,12341,15859,17147,TENNESSEE,71541,45733,35.0,284.0,12,100.03774059628743
65,Brazoria,TX,370200,126993,123126,22523,47818,58135,48002,27924,12109,3623,370200,263560,56511,3803,27771,417,25787,53372,54155,42539,TEXAS,189083,113261,26.0,124.0,12,12.276513488784698
66,Collin,TX,1005146,301303,330777,58065,128342,160155,151235,70111,29690,10644,1005146,707589,112469,11442,173553,2703,31596,129254,155484,112166,TEXAS,503949,357034,68.0,251.0,12,24.385324705475668
67,Dallas,TX,2637772,728195,794973,183880,435635,362746,326863,173179,78579,31424,2637772,1642653,628526,26327,190174,4986,209472,385986,371771,287709,TEXAS,1167689,731583,416.0,3092.0,12,793.1185786626336
68,Galveston,TX,337890,114248,123185,20126,45186,45180,43386,31210,13106,4419,337890,275872,46629,4530,13853,0,8308,43141,46959,45177,TEXAS,206534,114372,35.0,151.0,12,18.424085138523512
69,Williamson,TX,566719,184625,199786,30524,79002,92783,76743,43077,18270,7312,566719,472199,46692,7852,48523,2162,18148,77519,82308,59181,TEXAS,297869,209257,59.0,477.0,12,68.02641429621518
70,Cache,UT,127068,41425,41941,18250,17787,14986,10314,6693,3664,1174,127068,118512,1672,1354,4410,799,3655,22577,21345,10278,UTAH,56271,40622,4.0,18.0,12,0.9212560644024594
71,Tooele,UT,69907,23119,22493,4250,8724,11209,7630,3834,1856,669,69907,63702,298,2073,1109,0,5550,10723,14344,6668,UTAH,31292,22380,4.0,22.0,12,2.0247986705860845
72,Monongalia,WV,106420,43663,42060,16317,17748,13146,11552,7893,3586,1697,106420,98389,5684,686,4792,0,578,9598,14271,10612,WEST VIRGINIA,46917,31660,30.0,153.0,12,70.43928639937114
73,Raleigh,WV,74254,29239,29299,3965,8114,10487,8603,9377,4870,1245,74254,67248,7711,0,932,0,169,7423,10154,10016,WEST VIRGINIA,39131,24550,56.0,435.0,12,448.2175257467358
74,Laramie,WY,98976,38084,36779,5079,14845,11449,12634,9752,4619,1792,98976,93031,4130,1700,2040,0,1359,12515,13365,12926,WYOMING,44719,32856,13.0,178.0,12,37.25664706276141
75,Madison,AL,366519,134001,143688,23676,51828,45578,48567,32318,18013,5334,366519,257437,95120,6503,13292,1257,9033,44700,45471,51034,ALABAMA,242009,142492,72.0,697.0,12,149.30221603328184
76,Walker,AL,63711,23417,25845,3504,8068,7174,8229,7142,3760,1159,63711,58589,4401,693,0,0,1020,8124,7299,9252,ALABAMA,43910,23199,45.0,274.0,12,202.17718059662897
77,Benton,AR,272608,88046,93144,15558,40243,38770,34359,20281,11336,4673,272608,246053,6631,7980,12605,1943,5649,38461,39484,29443,ARKANSAS,131687,77929,34.0,270.0,12,50.19174254102149
78,Riverside,CA,2450758,798500,815414,168706,342125,314730,305460,200679,109456,42890,2450758,1572247,190762,38186,200493,16901,545759,326576,358926,281210,CALIFORNIA,1035957,650545,584.0,2756.0,12,1118.6206377291612
79,Santa Clara,CA,1937570,588754,597596,120084,313724,279888,266453,145646,78089,37517,1937570,942586,63216,26182,785222,17173,210812,225405,242312,228452,CALIFORNIA,885764,625462,850.0,4820.0,12,3330.277590870668
80,Santa Cruz,CA,274255,94721,99255,26705,33697,31830,33369,29453,12061,3835,274255,212757,5198,4574,18641,1762,45501,28366,38411,36528,CALIFORNIA,159499,120913,97.0,1002.0,12,438.74682599888155
81,Stanislaus,CA,549815,171309,180498,37796,78160,71804,64510,43137,20813,8557,549815,453797,20522,12284,40705,7057,43938,78905,84318,61815,CALIFORNIA,248466,159226,113.0,628.0,12,205.6381154765559
82,Sutter,CA,96807,30876,31121,5618,14323,11577,11212,7747,4847,2269,96807,71990,4126,3359,16439,2794,6435,13987,13485,11742,CALIFORNIA,46087,30755,22.0,179.0,12,61.52190422460531
83,Ventura,CA,850967,279338,293153,57191,114056,106498,111368,76060,37631,18528,850967,720716,23321,17543,79842,4488,48334,103943,113197,112495,CALIFORNIA,449549,313167,285.0,1909.0,12,871.3773137077188
84,Adams,CO,511868,164431,166219,32517,83714,75370,63044,33327,15043,4739,511868,444940,24447,17715,26475,1228,28751,72281,75823,56010,COLORADO,253203,176459,16.0,167.0,12,7.598014241537122
85,Pueblo,CO,167529,60502,66272,10044,21666,20602,19705,17912,9020,3900,167529,142788,5351,8049,2790,902,14817,19198,23205,22277,COLORADO,100125,68407,6.0,42.0,12,1.8121348314604933
86,Indian River,FL,157413,59782,67430,5165,13774,14976,17533,27260,17006,7118,157413,140150,15622,2048,2053,480,1630,15531,13053,25997,FLORIDA,113426,74999,20.0,230.0,12,29.199654400223125
87,Manatee,FL,394855,141140,154062,19570,41190,40177,47632,58114,35874,13799,394855,345911,37703,2560,10314,1063,6843,38045,42219,58235,FLORIDA,245088,164885,70.0,548.0,12,112.690951821382
88,Palm Beach,FL,1485941,491178,548379,79848,178095,170189,189838,171961,121941,60936,1485941,1119719,296238,7964,53607,3348,47384,151409,164424,197300,FLORIDA,933572,596136,467.0,2975.0,12,1071.491004443138
89,Putnam,FL,74163,27316,28543,4347,7543,7826,8543,10603,5994,717,74163,60986,13052,0,848,0,954,8485,8927,11178,FLORIDA,47218,28313,21.0,180.0,12,57.63903596085018
90,Hawaii,HI,200983,72364,73386,10518,23661,23671,23217,27403,11003,4237,200983,109665,5016,6986,88048,69172,7687,25050,22534,29689,HAWAII,105294,59482,42.0,611.0,12,175.47666533703958
91,Kauai,HI,72133,24377,25035,3092,8907,8827,9295,8886,4217,1606,72133,35411,741,1366,36898,18966,1884,8761,8520,10022,HAWAII,40235,25825,15.0,218.0,12,58.51621722379557
92,Ada,ID,469966,172289,175988,28113,66481,67005,60077,41657,19173,6646,469966,436954,11169,6464,19638,1834,8532,53628,70372,56814,IDAHO,274266,192303,143.0,1113.0,12,417.82240598541495
93,Canyon,ID,223499,72118,74927,14968,29942,27990,26115,19122,9327,3481,223499,191827,3216,5709,4719,0,28342,33837,35044,23673,IDAHO,99021,64247,56.0,441.0,12,179.56918229464662
94,Lake,IL,700832,232687,238912,50841,77969,87661,98601,59310,27703,12788,700832,536569,56192,7069,63592,1138,59061,83975,106223,95761,ILLINOIS,448295,255674,122.0,1338.0,12,262.1709365484723
95,Tazewell,IL,132328,48887,52012,7022,16334,16608,16602,14100,6678,4480,132328,127387,2609,732,2019,0,1057,16261,16099,18144,ILLINOIS,90984,17362,136.0,465.0,12,500.44843049321855
96,Clark,IN,117360,42093,45974,6166,16865,16653,14642,11434,5638,1289,117360,106237,11471,0,1705,795,1322,14060,14833,15780,INDIANA,80799,49383,47.0,326.0,12,136.53436304903073
97,Grant,IN,65936,24371,27567,5963,6743,7229,8191,6658,4304,1571,65936,60394,6522,429,302,0,452,6909,8876,9492,INDIANA,40086,20398,35.0,170.0,12,106.87022900760694
98,Johnson,IN,156225,54860,60031,10314,20513,20291,20999,13445,7246,2029,156225,146464,4916,0,6605,0,1138,20573,22184,18631,INDIANA,96768,52220,21.0,125.0,12,19.531249999997982
99,Sedgwick,KS,513607,174799,183021,34687,72399,63705,58696,43922,20643,9743,513607,414885,56013,13049,27048,2798,24539,72233,72457,65122,KANSAS,281952,170686,73.0,671.0,12,125.08426966291691
100,Boone,KY,131533,46200,48715,7301,17788,17679,17871,10778,5187,1398,131533,123902,5469,0,4107,0,1937,17740,19286,16505,KENTUCKY,103730,42577,60.0,242.0,12,100.78472958641659
101,Jefferson Parish,LA,434051,144349,163311,24023,62919,54162,54413,43668,22509,8064,434051,278494,123034,4833,21769,601,18339,53285,50646,60362,LOUISIANA,260976,137201,146.0,1137.0,12,457.9786647047829
102,Lafourche Parish,LA,98115,35424,37946,5379,14148,10941,13360,8428,5291,1818,98115,81519,14305,3447,1039,0,1254,12723,13379,12648,LOUISIANA,56740,30603,47.0,355.0,12,211.72365174476354
103,York,ME,206229,79122,86393,10323,24560,23556,28470,25145,12594,4575,206229,200033,2949,2040,3844,0,599,19689,23354,33963,MAINE,11888,7859,1.0,27.0,12,1.6352624495275612
104,Howard,MD,323196,106629,112137,18670,39040,45652,47247,28055,13076,3608,323196,191935,70343,2335,65105,0,6134,40737,44849,42262,MARYLAND,214872,145235,70.0,1122.0,12,263.174354964804
105,Allegan,MI,117327,42831,43760,6457,13771,14467,15195,12024,5790,1994,117327,110209,2867,1591,1281,0,3364,14633,16186,16810,MICHIGAN,75498,51710,36.0,289.0,12,99.21958197566835
106,Kent,MI,653786,226078,241346,45104,102709,82906,78240,53249,25723,10779,653786,545344,78912,9377,25169,1490,22988,88527,86065,80484,MICHIGAN,410141,283519,208.0,1974.0,12,720.7917277228875
107,Macomb,MI,874759,319145,343989,53532,117326,105190,122624,85055,45260,18692,874759,721702,115491,8115,43231,789,6532,101640,100215,125225,MICHIGAN,554952,365489,222.0,2713.0,12,781.4115815421733
108,Hennepin,MN,1259428,443116,458766,78351,213915,172345,153436,103695,49288,23877,1259428,945966,192168,21049,109014,2428,42005,157841,147502,159178,MINNESOTA,795306,634026,394.0,5485.0,12,1956.4605321724976
109,Rice,MN,66523,24575,23506,5692,7261,7875,7875,5870,2713,1714,66523,58007,4350,576,2000,0,2417,7092,11831,8600,MINNESOTA,38169,28770,28.0,297.0,12,156.8686630511261
110,Jones,MS,68461,24194,26191,2869,9091,9159,7348,7153,3347,1375,68461,46556,20578,0,0,0,1005,9566,10049,8504,MISSISSIPPI,43152,22365,37.0,185.0,12,114.21023359285452
111,Burlington,NJ,445384,165882,173286,27921,55410,56268,62765,42934,22611,9730,445384,332098,85733,2839,28846,0,14321,48569,53828,65348,NEW JERSEY,297015,191736,149.0,1790.0,12,646.5370435836355
112,Camden,NJ,507078,175682,196491,30320,70544,64583,67559,46138,23966,9136,507078,322858,113603,3063,33869,613,50868,60455,65629,68748,NEW JERSEY,326614,187554,195.0,1345.0,12,578.1687251617941
113,Essex,NJ,799767,245847,275682,50926,110255,111910,111582,61942,30948,15642,799767,341686,328783,3921,51643,1561,92679,106149,102376,98037,NEW JERSEY,491622,260222,293.0,2896.0,12,1242.7030523450692
114,Mercer,NJ,369811,120346,132551,29475,46290,46817,51373,32615,16193,7193,369811,233988,78700,1630,45186,0,18197,40822,50478,48555,NEW JERSEY,214519,129707,142.0,935.0,12,445.62206611067336
115,Otero,NM,66781,24660,23189,4367,10030,7901,7108,6506,3387,829,66781,55536,2966,5286,1255,833,3436,9058,8666,8929,NEW MEXICO,17212,17244,21.0,103.0,12,90.48105972572014
116,Onondaga,NY,461809,166250,184614,32733,60838,51934,58434,44565,22284,12018,461809,381687,62806,7702,21256,234,4708,55709,58332,64962,NEW YORK,289064,180419,179.0,1091.0,12,486.4254282788419
117,Ontario,NY,109864,41342,44414,7042,12114,12076,15508,12678,6322,2645,109864,103561,4276,508,1623,0,2383,11934,12918,16627,NEW YORK,72162,45126,43.0,329.0,12,141.15240708404133
118,Rensselaer,NY,159442,60620,63870,11114,22408,18678,20559,16007,6818,3732,159442,142380,15432,1657,5290,0,1486,16304,20822,23000,NEW YORK,97154,62479,66.0,472.0,12,230.86481256559372
119,Warren,NY,64265,25230,26659,3034,7316,7081,8857,8507,3593,2261,64265,61665,964,0,1366,0,429,6920,6021,10675,NEW YORK,42163,26494,21.0,163.0,12,58.45314612336446
120,Wayne,NY,90064,34215,35498,4799,10314,9704,12297,9930,5252,2110,90064,86340,3676,672,817,0,913,9653,11472,14533,NEW YORK,54412,32402,37.0,284.0,12,139.04579872084483
121,Davidson,NC,166614,59651,64292,9029,19836,20018,24049,18009,9393,2636,166614,144374,16922,1596,3610,0,3355,19236,20463,23945,NORTH CAROLINA,91376,57427,44.0,328.0,12,113.7173874977988
122,Franklin,NC,67560,24586,26285,3630,8682,8159,9379,7716,2967,950,67560,46233,18319,0,602,0,4078,6897,9017,10163,NORTH CAROLINA,37453,25681,19.0,149.0,12,54.42341067469778
123,Gaston,NC,222846,79006,87384,12823,29309,27999,32289,21405,10339,3645,222846,175659,41523,4093,5071,0,4819,28176,27464,29397,NORTH CAROLINA,119184,71729,47.0,338.0,12,95.9685863874265
124,New Hanover,NC,232274,88129,98532,22465,31629,28018,28715,25026,11501,4952,232274,192578,34905,2302,5099,0,2387,22586,27651,29731,NORTH CAROLINA,140086,89380,44.0,316.0,12,71.4623873905978
125,Rutherford,NC,66826,24570,27658,3425,6990,7328,8748,8191,4586,1281,66826,57548,7602,665,0,0,2102,7199,8449,10629,NORTH CAROLINA,37996,23174,18.0,153.0,12,52.186545952191764
126,Surry,NC,71948,26314,28408,4147,8280,7526,10467,8344,4758,1964,71948,66362,3172,0,0,0,1896,7675,9221,9566,NORTH CAROLINA,39146,24199,30.0,153.0,12,84.42241863789803
127,Jefferson,OH,65767,25498,27547,5051,6985,6799,8558,8211,4728,1518,65767,61051,3882,197,1351,0,390,5847,7938,10132,OHIO,48463,25200,41.0,290.0,12,176.646101149294
128,Licking,OH,175769,63760,69238,10560,20615,21057,24424,16778,8435,3520,175769,162387,9623,1862,4632,0,1148,22602,23032,24746,OHIO,121698,70159,28.0,467.0,12,77.36133708030721
129,Wayne,OH,115967,42651,44347,7764,13619,12469,13762,11401,6497,2366,115967,111606,3992,297,848,0,819,15155,16336,16598,OHIO,75115,40798,53.0,268.0,12,136.14963722290673
130,Anderson,SC,200482,72153,79581,12510,24051,23769,26237,21431,11481,3018,200482,165407,34501,1543,2508,0,3494,24096,26753,27136,SOUTH CAROLINA,130479,63507,80.0,515.0,12,227.34692939091906
131,Beaufort,SC,188715,71418,74385,12727,20276,19864,17880,30321,16938,4276,188715,143497,35650,1698,3257,0,9385,19326,21326,25781,SOUTH CAROLINA,140797,71329,61.0,511.0,12,159.40055540954995
132,Minnehaha,SD,192876,68115,67531,11500,29376,25601,23435,15728,5864,3762,192876,169233,15160,7156,5581,0,1561,28017,25817,23776,SOUTH DAKOTA,115724,70553,78.0,351.0,12,170.33770004491976
133,Montgomery,TN,205950,73331,74947,17345,38964,26979,23224,10473,5800,2308,205950,148931,47486,2542,8159,2676,5419,31946,28878,20033,TENNESSEE,99349,52455,29.0,315.0,12,66.20298140896574
134,Rutherford,TN,324890,114148,120432,29552,47444,46442,42260,21357,9554,2634,324890,254218,56621,2467,13494,0,8604,45885,44569,35193,TENNESSEE,157189,99744,28.0,235.0,12,30.139513579192553
135,Sumner,TN,187149,66495,72472,9746,22876,24774,26917,17579,8341,3459,187149,165881,16304,2313,3500,946,4296,24342,23729,25386,TENNESSEE,102974,66016,27.0,249.0,12,47.00759414997505
136,Williamson,TN,231729,78231,83114,10904,21055,35202,34914,19230,9567,1986,231729,209594,11481,0,13092,880,998,31037,38451,29383,TENNESSEE,150500,106046,43.0,496.0,12,102.03428571427892
137,Ector,TX,162124,50864,49762,11107,26971,20845,17565,9074,4836,1261,162124,129137,10181,1131,2376,0,23059,28875,25162,16428,TEXAS,68317,30983,26.0,111.0,12,30.415855497163165
138,Gregg,TX,123707,41013,45776,8395,16601,15002,14023,10948,5199,2827,123707,95202,26438,1017,2058,0,806,15821,19431,15460,TEXAS,60967,36644,18.0,84.0,12,17.85621729787953
139,Johnson,TX,171361,61245,61830,10153,20822,23214,23012,14267,7872,1534,171361,158255,8243,1904,2867,0,4453,25431,23181,21875,TEXAS,88172,52676,28.0,159.0,12,36.35439822165355
140,Nacogdoches,TX,65711,22263,24148,7668,7132,7177,7003,5704,2979,867,65711,51434,11820,1093,1132,0,1852,8722,11139,7320,TEXAS,33463,21725,17.0,68.0,12,24.87284463436486
141,Rockwall,TX,100657,34405,36335,4659,11622,17706,13464,7624,3424,1234,100657,87990,7159,962,3949,0,3993,13966,15250,11708,TEXAS,63500,38716,17.0,100.0,12,19.27559055117807
142,San Patricio,TX,66893,23471,23894,5036,7909,8569,7780,6051,3141,843,66893,62973,1316,344,988,0,2090,9745,9817,8002,TEXAS,41647,18323,9.0,40.0,12,6.223737604147664
143,Smith,TX,230221,75861,86799,15704,30454,27334,27210,21696,12721,3171,230221,180294,43412,3144,4559,0,4301,31406,32202,28323,TEXAS,123064,77734,34.0,174.0,12,34.61223428459707
144,Tarrant,TX,2084931,652695,704290,139251,311489,284950,270585,144190,64286,27000,2084931,1429107,379904,33139,137017,6630,178152,297698,306653,238829,TEXAS,979607,632587,338.0,2245.0,12,557.716717009979
145,Victoria,TX,92035,31625,33722,5423,12215,10972,10950,8370,4754,1811,92035,83267,7782,771,1346,0,1971,11188,15186,11166,TEXAS,49403,27304,35.0,145.0,12,73.96311964858937
146,Utah,UT,622213,196703,195382,78557,88756,79771,51427,28779,14808,4479,622213,584647,7858,6784,19116,10624,15656,114225,119865,41546,UTAH,264905,178119,24.0,179.0,12,11.67633679998446
147,Harrison,WV,67554,25441,27983,3710,7726,8207,9081,7572,3846,1854,67554,65831,2564,0,0,0,0,7066,8768,9724,WEST VIRGINIA,37911,22947,61.0,335.0,12,388.0984410855984
148,Cullman,AL,83442,30942,32494,4500,10274,10131,10843,9116,5570,855,83442,80522,1246,1210,903,0,1702,10127,10496,11530,ALABAMA,54465,28902,49.0,208.0,12,134.7331313687442
149,Shelby,AL,215707,76757,83237,12128,26890,31044,30165,20352,9918,3025,215707,175797,29145,1401,5613,238,7546,25038,29152,27995,ALABAMA,139626,84284,44.0,378.0,12,85.76511537965094
150,Talladega,AL,79828,29732,32748,4242,9867,10014,10796,8757,4392,1273,79828,51977,27916,693,0,0,0,8885,10426,11176,ALABAMA,51512,26322,26.0,210.0,12,76.31619816740249
151,Tuscaloosa,AL,208911,75778,84947,19909,31177,24947,23240,16811,8124,2537,208911,136977,68197,1358,4125,0,476,23425,34915,23826,ALABAMA,125158,68990,54.0,393.0,12,122.08440531167628
152,Apache,AZ,71818,25301,26425,4708,8817,8327,7714,6466,3163,1303,71818,16437,435,54058,450,0,606,10465,11544,9311,ARIZONA,49909,25559,42.0,278.0,12,168.44096255181063
153,Pima,AZ,1039073,370968,388416,89756,133420,118453,113730,117273,66965,21309,1039073,823552,53256,73954,44720,3281,104130,113403,135423,129341,ARIZONA,557532,393352,232.0,2002.0,12,599.8114547685047
154,Pinal,AZ,447138,171355,157058,26780,56108,59352,49111,55006,29655,6164,447138,376948,27826,30021,11241,3960,19123,53087,58258,53617,ARIZONA,202768,118345,97.0,721.0,12,248.3362266235181
155,Yuma,AZ,212128,68637,62038,17326,28913,22932,22770,19698,17127,3154,212128,191309,7931,4732,3774,199,10702,29316,30373,20519,ARIZONA,87273,44362,9.0,123.0,12,9.132721460244392
156,Washington,AR,236961,81384,84781,25271,36889,29801,26644,15964,7715,3243,236961,186986,10596,6112,8345,6591,25677,32483,34842,24109,ARKANSAS,108688,66531,46.0,378.0,12,115.18622110995554
157,Los Angeles,CA,10105518,3086805,3289185,701010,1640038,1381122,1348569,785211,398000,192748,10105518,5506273,929007,198807,1671804,59219,2221435,1177643,1269689,1211488,CALIFORNIA,5280658,3023417,4164.0,24651.0,12,13995.54185860926
158,Mendocino,CA,87606,31394,31614,5363,8603,10221,10449,12320,5277,1475,87606,76467,699,6255,2683,0,4897,10823,10035,13040,CALIFORNIA,49411,33966,22.0,156.0,12,50.009916820131146
159,Orange,CA,3185968,1026052,1077767,210595,459850,413319,445819,266534,139275,65417,3185968,2037825,82971,34938,743854,22639,408276,363949,416826,404384,CALIFORNIA,1560111,1106729,985.0,5106.0,12,2321.100998582778
160,Placer,CA,393149,141317,150667,20967,42313,50977,52876,43316,24310,9123,393149,339820,10757,6465,40037,1803,13722,45335,50637,53295,CALIFORNIA,234732,177465,236.0,1699.0,12,1229.8880425335603
161,Sacramento,CA,1540975,508309,546660,96515,241376,205883,191894,128232,61706,27506,1540975,970226,193295,35147,302991,29491,141148,196799,202434,188630,CALIFORNIA,765965,523083,79.0,671.0,12,49.82796864086414
162,Solano,CA,446610,154165,158134,27916,65529,56418,55683,42750,19036,8811,446610,263761,72516,7316,86477,7774,43303,53706,56098,60663,CALIFORNIA,231510,47089,93.0,997.0,12,288.3638719709607
163,Columbia,FL,70503,27880,26083,3852,8014,9665,8620,7433,3917,1628,70503,55353,14068,1226,654,0,2942,9654,7707,10013,FLORIDA,40375,25175,9.0,77.0,12,12.358142414857621
164,Hernando,FL,190865,72161,79332,8829,19285,20723,22858,28039,17855,6749,190865,172875,13505,1288,4241,1074,4564,17842,21068,27617,FLORIDA,133853,81412,32.0,305.0,12,52.49938365221156
165,Martin,FL,160912,63139,65943,6353,16113,13865,19665,24414,17890,8115,160912,140360,12593,1212,3028,0,7693,11790,18138,24569,FLORIDA,114132,78591,30.0,213.0,12,40.31121858899868
166,Monroe,FL,75027,29561,27039,2986,9069,9423,11022,10862,5264,846,75027,66213,5578,399,1291,0,2112,5991,7157,12407,FLORIDA,53869,36586,27.0,255.0,12,92.02324156748928
167,Orange,FL,1380645,460838,488907,101479,233350,197112,179984,100096,45944,18844,1380645,920804,309974,12267,88390,3298,98169,166445,182630,154761,FLORIDA,798373,481161,205.0,2126.0,12,393.0463580306399
168,Pasco,FL,539630,196960,211889,26976,58020,66201,71932,67383,41231,13520,539630,479584,39649,5918,18413,418,13929,58620,62941,72806,FLORIDA,351949,213442,110.0,1043.0,12,234.70900613440486
