County,CensusTract,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,Voters,Workers,Locations,Hours,eff_score
bastrop,48021950490.6,34.27,56.09,7.26,0.36,0.6699999999999999,0.0,5101.1,53902.4,9166.2,24569.3,4016.7,14.71,20.28,30.309999999999995,15.720000000000002,24.17,16.990000000000002,12.86,79.60000000000002,14.079999999999998,0.29,1.47,0.96,3.61,33.209999999999994,3234.3,71.66,19.85,8.190000000000001,0.28,9.53,47519,105,21,12,0.5568298996190997
baylor,48023950300.0,8.9,86.4,1.9,0.0,0.0,0.0,2836.0,36373.0,7151.0,32907.0,9699.0,11.9,2.2,37.6,12.0,21.9,21.7,6.8,91.3,5.6,0.0,0.5,1.2,1.4,13.0,1486.0,62.0,16.6,21.5,0.0,1.4,2330,8,4,12,0.1648068669527897
bee,48025950329.0,55.871428571428574,37.885714285714286,5.571428571428571,0.35714285714285715,0.12857142857142856,0.0,3552.714285714286,47179.285714285725,10901.714285714286,19253.0,3332.714285714286,18.814285714285713,28.571428571428577,20.142857142857142,24.800000000000004,20.857142857142858,16.185714285714287,18.02857142857143,80.51428571428572,13.342857142857143,0.028571428571428574,2.4714285714285706,1.3571428571428572,2.3000000000000003,26.12857142857143,1493.0,68.89999999999999,22.542857142857148,8.12857142857143,0.4142857142857143,7.128571428571428,15883,39,10,12,0.2946546622174652
bell,48027066191.10769,24.063492063492063,48.54920634920635,20.357142857142858,0.5142857142857143,2.4523809523809517,0.6714285714285714,3422.0307692307692,48094.661290322576,7614.967741935483,22410.126984126982,3211.7936507936506,17.688709677419354,25.529032258064515,29.02857142857143,21.15873015873016,26.990476190476183,10.384126984126985,12.438095238095233,79.78730158730156,12.434920634920635,0.30476190476190473,2.5253968253968258,1.806349206349206,3.1444444444444457,19.511111111111113,1962.3076923076926,69.98412698412697,24.942857142857147,4.9365079365079385,0.14285714285714285,10.14126984126984,195604,347,46,12,0.9792437782458436
bexar,48029172817.2541,59.97719780219778,28.737362637362647,6.889010989010988,0.2590659340659341,2.375,0.0346153846153846,3312.546448087432,54659.01933701657,8982.104972375691,24734.95054945055,3534.895604395605,18.474725274725273,25.612947658402195,32.37417582417581,20.716758241758228,26.104945054945073,10.237912087912095,10.571428571428571,78.30714285714286,11.383516483516491,3.3956043956043938,1.944230769230768,1.278021978021978,3.6917582417582415,24.38895027624311,2251.7021857923496,79.54752747252749,14.66456043956044,5.689835164835168,0.09807692307692308,7.909890109890107,1108798,1260,302,12,4.118189246373101
blanco,48031950150.0,18.7,78.30000000000003,0.05,0.7,0.45,0.0,4056.0,53787.0,9276.0,29405.0,3543.5,8.95,14.05,37.05,20.45,19.05,15.6,7.85,76.35,14.0,0.0,3.05,0.95,5.6,25.9,2335.0,69.75,17.75,12.25,0.25,6.050000000000002,8177,29,6,12,0.2553503729974318
borden,48033950100.0,8.8,87.9,0.0,3.0,0.0,0.0,490.0,73750.0,8208.0,44591.0,15266.0,1.4,0.0,52.8,11.7,14.2,14.2,7.1,78.6,10.4,0.0,0.7,0.7,9.6,24.9,282.0,45.7,36.2,17.0,1.1,0.7,488,21,7,12,3.614754098360656
bosque,48035950400.0,16.014285714285716,80.28571428571429,1.4714285714285715,0.3428571428571429,0.3857142857142857,0.0,1886.7142857142856,45418.857142857145,6760.285714285716,24415.571428571428,3965.857142857143,14.757142857142856,21.957142857142852,27.957142857142852,18.585714285714285,21.571428571428577,15.571428571428573,16.357142857142858,78.47142857142858,13.12857142857143,0.1285714285714286,2.928571428571428,0.7714285714285714,4.614285714285714,29.685714285714287,1023.5714285714287,75.4857142857143,12.514285714285714,11.72857142857143,0.2571428571428572,8.128571428571428,12209,34,3114,12,104.06355966909656
bowie,48037011033.833336,6.7,61.988888888888894,27.62777777777778,0.7111111111111111,0.7499999999999999,0.06666666666666668,3827.444444444444,41806.0,6436.444444444444,21528.94444444444,3354.944444444445,21.372222222222227,30.716666666666665,27.16111111111111,22.805555555555557,23.90555555555556,11.722222222222221,14.416666666666664,83.5611111111111,9.933333333333332,0.8333333333333333,1.1,2.1944444444444446,2.3833333333333333,18.26111111111111,1997.7222222222226,75.67222222222222,19.277777777777782,4.905555555555555,0.1277777777777778,9.177777777777779,59606,142,32,12,0.9148072341710566
brazoria,48039668602.27451,30.522,55.17799999999999,9.53,0.28800000000000003,3.036,0.004,4353.588235294118,64157.84,9773.12,27993.46,3567.52,12.81,16.601999999999997,33.556000000000004,15.952,21.984,13.503999999999998,15.004,85.868,8.626,0.182,1.06,1.5280000000000005,2.7400000000000007,27.258000000000006,3025.2941176470586,80.30999999999997,13.789999999999996,5.781999999999999,0.112,6.068,205435,124,26,12,0.1883223403996398
brazos,48041024622.78571,23.736585365853664,58.012195121951216,10.141463414634147,0.21463414634146336,6.234146341463416,0.04146341463414634,3424.952380952381,46399.325,9565.15,23343.512195121948,3690.6585365853657,28.0525,26.3225,40.04878048780487,17.921951219512195,24.24634146341463,9.10975609756098,8.670731707317072,75.79024390243903,11.890243902439025,2.5219512195121947,4.151219512195122,2.71219512195122,2.9341463414634146,17.770731707317072,2340.333333333333,68.04146341463415,25.795121951219517,5.943902439024392,0.23170731707317074,6.54390243902439,114391,167,25,12,0.4379715187383623
briscoe,48045950200.0,32.6,60.4,3.8,0.1,0.0,0.3,1111.0,38603.0,7119.0,22323.0,2637.0,18.6,27.4,33.7,16.6,16.6,20.6,12.4,79.4,5.8,0.0,6.2,1.1,7.5,20.6,757.0,62.9,23.6,12.4,1.1,4.7,1013,20,5,12,1.1846001974333662
brooks,48047950150.0,93.1,5.550000000000002,0.05,0.0,1.25,0.0,2612.0,24105.0,8137.0,14168.5,3141.5,36.45,56.15,22.35,27.65,25.85,11.65,12.55,81.8,12.25,0.05,3.0,0.05,2.85,23.2,1208.0,73.4,20.65,5.95,0.0,13.9,5524,21,914,12,41.69587255611876
brown,48049950725.0,21.98333333333333,71.65833333333335,4.533333333333332,0.23333333333333334,0.5249999999999999,0.025,2336.75,41149.75,6343.916666666668,21287.75,3776.333333333334,20.258333333333336,31.816666666666666,30.675,20.566666666666666,22.516666666666666,10.591666666666667,15.691666666666668,86.35833333333332,9.766666666666667,0.3583333333333333,1.075,0.7583333333333333,1.6833333333333331,17.21666666666667,1250.5,75.97500000000002,15.341666666666667,8.583333333333334,0.1,4.841666666666667,23357,56,15,12,0.4315622725521257
burleson,48051970300.0,17.939999999999994,67.66,11.82,0.16,1.12,0.0,2503.6,53329.6,9218.6,25722.0,4060.8,15.28,25.32,28.6,15.94,22.18,16.060000000000002,17.259999999999998,82.58000000000001,12.98,0.1,0.6799999999999999,0.6399999999999999,3.04,28.140000000000004,1470.4,69.02,21.42,8.88,0.7,7.9,11427,42,13,12,0.5733788395904437
burnet,48053960450.0,20.1,76.04999999999998,2.325,0.6875,0.30000000000000004,0.0,4087.0,51700.125,8276.5,27436.625,4650.75,14.9125,23.675,30.0625,19.75,22.950000000000006,15.2,12.0125,78.32499999999997,11.475,0.1375,1.9875000000000005,1.2375,6.862500000000002,26.1625,2334.125,73.3,14.6625,11.9375,0.0875,4.987500000000002,30985,96,20,12,0.7435856059383573
caldwell,48055960362.875,45.1,46.9125,6.4125000000000005,0.1375,0.30000000000000004,0.075,3462.375,48765.0,7227.625,21916.625,3749.75,16.7875,21.825000000000006,25.525,22.35,22.675,13.825,15.6125,79.7125,13.4375,0.125,1.9875,1.925,2.8375,31.625,2086.625,74.125,18.687500000000004,7.075,0.125,5.612500000000002,23848,53,3626,12,96.70144246897014
calhoun,48057165250.0,43.48,48.46,3.02,0.06000000000000001,2.78,0.08,2473.5,51707.6,10840.8,25261.6,3919.4,17.84,26.5,27.72000000000001,12.48,22.24,16.240000000000002,21.3,80.2,13.78,0.72,1.16,1.64,2.46,23.18,1569.333333333333,80.92,12.14,6.88,0.08,6.3599999999999985,12491,52,16,12,0.7992954927547834
callahan,48059030134.333336,9.1,87.2,1.7333333333333332,0.06666666666666668,0.4,0.0,3398.0,41348.0,7673.0,22425.33333333333,3061.0,18.933333333333334,20.6,25.866666666666664,16.53333333333333,24.93333333333333,14.733333333333334,17.933333333333334,84.43333333333334,10.2,0.3,2.333333333333333,0.26666666666666666,2.433333333333333,22.2,1697.333333333333,71.16666666666667,16.900000000000002,9.466666666666667,2.433333333333333,5.4,8658,9,4,12,0.0498960498960499
cameron,48061045910.609184,88.70357142857144,10.090476190476195,0.3511904761904764,0.04642857142857143,0.5619047619047617,0.0023809523809523807,2529.022988505747,32757.892857142862,7059.4880952380945,14634.595238095239,2534.5476190476197,36.22857142857143,50.38571428571427,25.564285714285717,25.75357142857143,25.689285714285717,11.278571428571427,11.720238095238097,82.54523809523808,10.444047619047616,0.9595238095238098,1.846428571428571,1.8976190476190469,2.301190476190476,19.58452380952381,1701.2758620689654,73.80238095238096,16.994047619047617,9.038095238095238,0.16785714285714284,10.46547619047619,206391,409,76,12,1.8072881084931032
camp,48063950134.333336,21.66666666666667,58.93333333333334,16.666666666666668,0.10000000000000002,0.3,0.0,2808.666666666666,36540.333333333336,6199.666666666668,20123.0,3421.666666666666,18.933333333333334,27.3,22.03333333333333,19.1,22.2,13.866666666666667,22.8,82.60000000000002,12.866666666666665,0.9666666666666668,0.20000000000000004,0.26666666666666666,3.1,23.03333333333333,1679.666666666667,74.13333333333333,15.466666666666667,10.033333333333333,0.4333333333333333,8.766666666666667,7640,16,4,12,0.10052356020942407
carson,48065950150.0,9.3,87.3,0.85,0.7,0.3,0.25,2235.0,67111.5,10927.5,28469.5,2995.5,6.75,8.7,35.75,9.9,23.45,17.9,13.0,90.45,5.300000000000002,0.25,0.7,0.0,3.3,20.15,1451.0,71.15,18.8,10.1,0.0,1.35,4264,24,7,12,0.4727954971857411
cass,48067950400.0,3.6142857142857134,77.28571428571429,17.114285714285714,0.2428571428571429,0.4142857142857142,0.11428571428571427,3321.285714285714,38911.0,6363.142857142857,21044.14285714286,2975.142857142857,20.042857142857144,30.228571428571428,20.842857142857138,18.814285714285713,24.228571428571428,15.228571428571426,20.914285714285715,88.07142857142857,6.1,0.4142857142857143,1.3571428571428572,1.9714285714285715,2.085714285714286,25.214285714285715,1709.142857142857,76.85714285714286,15.2,7.942857142857143,0.0,9.4,20119,90,18,12,0.9662508076942194
chambers,48071750300.14286,19.2,66.28,10.72,0.36,1.44,0.02,3435.0,60482.4,10326.0,28092.4,4416.8,14.04,12.86,30.14,12.52,17.04,18.16,22.14,86.4,8.8,0.0,1.24,1.86,1.72,30.28,2166.5714285714284,76.66,17.119999999999994,6.08,0.12,9.12,26882,62,15,12,0.4151476824641024
cherokee,48073950616.91666,21.79166666666667,58.80833333333334,17.391666666666666,0.075,0.4666666666666667,0.0,2908.583333333333,36942.16666666666,7233.5,18601.75,2813.416666666666,23.55,34.15,25.38333333333333,24.808333333333334,19.33333333333333,15.341666666666667,15.091666666666667,81.20833333333333,14.516666666666666,0.008333333333333333,1.8333333333333337,1.1083333333333334,1.35,24.558333333333334,1644.083333333333,71.85833333333333,21.941666666666666,5.983333333333333,0.19166666666666665,6.9,27629,81,23,12,0.8091498063628796
childress,48075950150.0,23.35,59.05,13.1,0.7,1.4,1.45,2756.0,53912.0,15428.0,18614.0,3801.0,15.25,25.7,40.95,19.15,18.15,7.1,14.65,91.85,5.7,0.0,1.95,0.0,0.55,14.8,1300.0,57.25,31.35,10.8,0.55,5.1,3428,13,3,12,0.13652275379229872
clay,48077030267.66666,5.566666666666666,90.7,0.6,1.1666666666666667,0.4,0.0,2677.6666666666665,48239.0,7411.666666666668,26142.0,3382.333333333333,12.466666666666667,14.066666666666668,28.66666666666667,19.0,24.433333333333334,14.566666666666668,13.4,84.03333333333333,8.733333333333333,0.0,2.1333333333333333,1.1333333333333333,3.966666666666667,25.23333333333333,1535.0,72.39999999999998,17.433333333333334,10.0,0.16666666666666666,7.0,7656,48,16,12,1.2037617554858937
coke,48081950150.0,20.950000000000006,77.30000000000003,0.75,0.55,0.1,0.0,1283.0,42371.5,9291.5,29246.5,7345.0,11.6,11.1,46.25,13.75,15.15,12.6,12.2,84.19999999999997,5.050000000000002,0.0,4.050000000000002,1.2999999999999998,5.45,22.3,754.0,58.6,31.6,9.85,0.0,3.1500000000000004,2215,8,4,12,0.17336343115124153
coleman,48083950533.333336,16.4,78.56666666666666,1.9333333333333331,0.9666666666666668,1.6,0.0,2193.6666666666665,38806.0,6977.0,22096.33333333333,3433.666666666666,20.33333333333333,33.43333333333333,26.366666666666664,18.166666666666668,22.73333333333333,19.933333333333334,12.833333333333336,85.63333333333333,7.333333333333332,0.1,1.8666666666666665,1.9666666666666668,3.0666666666666664,30.8,1078.3333333333333,70.2,16.233333333333334,13.133333333333333,0.3666666666666667,7.933333333333334,5663,12,4,12,0.10171287303549356
collin,48085031221.19737,14.838815789473689,60.51381578947369,8.676315789473685,0.3375,12.989473684210527,0.06315789473684211,3605.315789473684,90005.63157894739,12641.611842105263,39965.75657894737,5077.559210526316,7.651973684210525,9.63684210526316,52.51315789473682,11.953289473684206,25.00460526315789,4.853289473684212,5.686184210526314,81.61184210526321,7.094078947368423,1.040789473684211,0.8953947368421055,1.3407894736842108,8.026973684210526,27.7092105263158,2922.296052631579,84.00921052631578,9.751315789473681,6.06644736842105,0.16644736842105265,4.8723684210526335,554057,251,68,12,0.3696659368981892
colorado,48089750300.0,28.2,58.7,12.7,0.16,0.16,0.0,3036.2,45961.4,8834.8,25274.8,4041.0,15.2,17.3,28.48,17.02,20.82,16.779999999999998,16.919999999999998,87.4,7.8199999999999985,1.3199999999999998,1.64,0.16,1.7,21.42,1833.8,72.97999999999998,17.04,9.080000000000002,0.92,3.98,13445,37,11,12,0.3632577166232801
comal,48091310586.083336,26.929166666666664,68.88333333333334,1.7333333333333334,0.15,0.7708333333333336,0.012500000000000002,3678.375,69096.29166666669,11966.875,32141.54166666667,4580.041666666667,9.42083333333333,13.129166666666668,36.91666666666666,16.945833333333333,25.60833333333333,11.645833333333336,8.870833333333332,80.51666666666667,9.329166666666666,0.10416666666666667,1.1,1.3749999999999998,7.583333333333332,30.65,2257.9166666666665,77.48333333333333,12.637500000000005,9.520833333333332,0.3541666666666667,4.954166666666667,100074,179,25,12,0.5366029138437556
comanche,48093950250.0,27.3,71.05,0.375,0.1,0.30000000000000004,0.0,2426.75,37564.0,4895.75,20124.0,2515.25,23.075,39.85,26.375,15.125,20.225,17.4,20.875,80.05,12.6,0.0,2.85,1.0,3.5,22.95,1334.5,72.875,14.425,12.15,0.5249999999999999,4.725,9185,45,12,12,0.7054980947196516
coryell,48099061522.94737,17.34736842105263,61.563157894736825,13.915789473684207,0.431578947368421,1.7105263157894737,0.6736842105263159,2862.894736842105,49050.25,7629.4375,20520.368421052633,3021.7894736842104,17.12222222222222,27.155555555555548,25.889473684210525,24.97368421052632,25.77894736842105,10.16315789473684,13.2,76.75263157894737,11.84736842105263,0.5947368421052632,5.315789473684212,2.6263157894736846,2.8947368421052633,21.0,1193.8947368421052,61.04736842105264,34.72105263157894,4.063157894736842,0.16842105263157894,9.105263157894736,38711,43,5262,12,70.14006354782879
cottle,48101950100.0,28.1,59.9,10.5,0.2,0.0,0.0,1074.0,34955.0,3894.0,18926.0,2304.0,22.7,39.1,31.4,22.6,22.9,19.2,3.9,66.6,17.7,0.0,9.6,4.0,2.2,15.1,615.0,56.4,28.9,14.0,0.7,7.5,1062,12,4,12,0.5423728813559322
crane,48103950100.0,60.0,35.7,3.5,0.7,0.0,0.0,2869.0,58333.0,6374.0,23808.0,2497.0,13.1,16.3,19.0,19.4,17.3,21.9,22.3,77.0,18.9,0.6,2.0,1.4,0.0,23.0,1980.0,82.2,13.9,3.9,0.0,5.2,2666,16,4,12,0.2880720180045011
crockett,48105950100.0,61.8,36.7,0.3,0.0,0.0,0.0,2609.0,53678.0,8534.0,26675.0,3494.0,17.5,30.4,21.6,17.5,20.7,24.4,15.9,76.1,18.7,0.0,3.5,0.0,1.6,21.1,1851.0,77.4,16.3,6.2,0.2,1.8,2501,12,4,12,0.2303078768492603
crosby,48107950200.0,53.93333333333334,40.96666666666667,3.5,0.0,0.0,0.4666666666666666,1386.0,37941.66666666666,6975.333333333332,19070.33333333333,2894.333333333333,22.73333333333333,34.93333333333333,28.566666666666666,19.0,19.933333333333334,23.366666666666664,9.133333333333336,83.43333333333331,8.233333333333334,0.0,2.966666666666667,3.9,1.4333333333333331,22.23333333333333,826.0,72.56666666666666,17.3,9.633333333333333,0.4666666666666666,9.500000000000002,3540,12,709,12,28.84067796610169
