,Unnamed: 0,County,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,Voters,Workers,Locations,Hours,eff_score,timeToVote,differenceFromNorm,white_professional_corr,Black_Service_corr,White_Carpool_corr,Professional_Hispanic_corr,Professional_Black_corr,Hispanic_Construction_corr,Black_Construction_corr,Professional_Construction_corr,Service_Construction_corr,White_Professional_corr,Service_Carpool_corr,Black_Hispanic_corr,Black_Carpool_corr,Professional_Service_corr,Service_Hispanic_corr,White_Black_corr,Professional_Carpool_corr,White_Construction_corr,White_Hispanic_corr,Hispanic_Carpool_corr,White_Service_corr,Construction_Carpool_corr,White_Poverty_corr,Construction_Poverty_corr,Carpool_Poverty_corr,Black_Poverty_corr,Service_Poverty_corr,Professional_Poverty_corr,Hispanic_Poverty_corr,sumPerpetuation,affected
4,4,archer,8.3,90.2,0.1,1.9,0.6,0.0,2239.0,51596.0,7650.0,30039.0,5061.0,9.8,7.0,28.7,14.3,20.6,17.1,14.0,86.3,7.5,0.0,1.2,0.6,4.4,19.9,1409.0,76.6,13.5,9.9,0.0,3.2,6320.0,29.0,8.0,12.0,0.4405063291139241,26.430379746835445,0.1627309667139446,0.3619253245461761,0.11492980920864462,-0.3557826194592628,-0.375654601443339,-0.21684827707175186,-0.3327964640113675,-0.44363205968109465,-0.23313597032093786,-0.16482679143309714,0.3619253245461761,0.18183878529699327,0.37794678401297066,-0.01712127858987379,-0.4049595385398965,0.6966489744451849,-0.44381498061992425,0.36840687378596176,0.3805519947754048,-0.9908121449365612,0.3578640240515977,-0.6535019003045358,-0.0828433737176717,-0.7696104178965684,-0.7186921342743553,0.32553550785294016,0.4658569962224606,0.4331641145075464,0.02246618521023629,0.7459263373504533,1.416438323042959,True
5,5,armstrong,11.8,84.5,0.6,1.6,0.0,0.2,1534.0,59737.0,4968.0,28669.0,2241.0,6.9,4.3,39.2,12.1,20.1,20.9,7.8,74.4,14.7,0.0,1.8,1.6,7.5,25.3,954.0,65.6,24.4,9.5,0.4,1.1,1428.0,21.0,6.0,12.0,1.0588235294117647,63.529411764705884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
6,6,atascosa,67.45,29.75,0.6499999999999999,0.0,0.05,0.0,4524.0,49573.5,7857.5,21101.5,2825.0,18.1,27.75,20.55,22.7,23.0,20.3,13.55,76.45,15.6,0.0,1.45,0.0,4.25,28.95000000000001,2859.0,77.65,14.15,6.5,0.0,6.4,26434.0,98.0,21.0,12.0,0.9342513429673904,56.05508057804342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
7,7,austin,25.25,63.45,9.35,0.0,0.0,0.0,3486.5,51713.5,12217.0,26552.5,3655.0,11.45,19.1,31.0,15.45,21.25,13.55,14.95,80.75,11.95,0.0,0.75,0.8,5.2,30.95,2142.5,79.5,12.15,6.3,0.0,6.2,18907.0,63.0,18.0,12.0,0.7197334320621992,43.18400592373196,0.138435709404168,0.8808492238242024,0.8244599394764377,-0.8297364378785149,-0.9626606849403518,-0.565210353846685,0.07182457901279171,-0.5484275046511911,-0.32900280712555713,-0.7534113435542118,0.8808492238242024,0.16869376061249133,0.7671579028981186,0.4689901123469348,-0.3263508822779974,0.5311181971882862,-0.8818718256015577,-0.9857635616684352,0.09744667565633096,-0.9726741051278172,0.9183288781931576,-0.6020804356312924,0.4603624393453623,-0.7073584031242948,0.5312412900899777,0.9612297643410253,0.31417257064227005,0.14784580057114724,-0.9571942403515128,0.8483058173683408,2.3302962992056457,True
8,8,bailey,60.1,37.5,1.9,0.1,0.4,0.1,3936.0,37397.0,8652.0,17007.0,2385.0,19.0,25.8,23.2,22.4,20.6,20.7,13.2,77.3,6.5,0.0,3.3,7.7,5.3,19.6,3191.0,75.3,19.1,5.6,0.0,4.3,3242.0,8.0,1.0,12.0,0.029611351017890187,1.7766810610734114,4.427793186880997,0.6618540120907642,0.5869334694959369,-0.11632587544391235,0.6576693511430268,-0.7617340261307137,0.3088350218829279,-0.7899190385692791,0.3783742711174792,-0.2924098755935243,0.6618540120907642,0.3098639102095441,-0.4282815673788281,0.2648149115836917,-0.504756738969664,-0.13414681413127189,-0.9701419158913362,-0.7531474374587059,0.8262373353841921,0.2421703671580378,-0.7938524461739397,-0.5460921445268305,-0.06591562375945999,-0.6680647757915498,-0.6672026754573589,-0.03080485118209206,0.6698584020780609,0.3728871399358848,-0.2618415257741347,-0.3735250787028045,-0.2661452482144474,False
9,9,bandera,16.0,80.2,0.1,0.0,0.1,0.0,3419.0,49813.0,11335.0,27217.0,3782.0,13.2,25.6,34.5,15.7,18.2,16.8,6.3,82.3,10.1,0.0,2.3,0.4,5.4,28.3,2116.0,69.8,17.9,9.6,0.2,5.5,15333.0,32.0,10.0,12.0,0.2504402269614557,15.02641361768734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
10,10,bastrop,25.5,63.05,5.2,0.15,0.05,0.0,4412.0,52743.5,8413.5,24195.5,3276.0,13.85,19.0,31.3,15.85,23.8,18.15,12.05,79.6,13.55,0.0,0.7,0.65,3.55,32.3,2991.0,72.05,19.5,7.75,0.0,7.85,47519.0,105.0,21.0,12.0,0.5568298996190997,33.40979397714598,-0.2958071935560176,0.8412220807857703,0.3774334944859346,-0.6577015324493646,-0.8595665034118656,-0.5239508726101715,0.6893446063240707,0.3774629162066572,-0.7687902473584926,0.4378337305458259,0.8412220807857703,0.5389105360792928,0.3790188722866461,0.3899336321607964,-0.7944323787253195,0.7751179573110283,-0.6453213234065938,-0.7144642348957584,-0.6407802495786031,-0.9098897084214664,0.6671441961240636,-0.7293689888580482,0.6344611474544251,-0.5299024679747601,0.4500832127697842,0.4102897444478332,0.383877431899204,0.5742755299974428,-0.5987551294461919,0.4842897266678978,2.2834842342208623,True
11,11,baylor,8.9,86.4,1.9,0.0,0.0,0.0,2836.0,36373.0,7151.0,32907.0,9699.0,11.9,2.2,37.6,12.0,21.9,21.7,6.8,91.3,5.6,0.0,0.5,1.2,1.4,13.0,1486.0,62.0,16.6,21.5,0.0,1.4,2330.0,8.0,4.0,12.0,0.1648068669527897,9.888412017167383,0.7711573733959256,0.8344941558954377,0.7606112472339059,-0.5942269837574948,-0.7432105092861323,-0.7635698662384355,0.1515810137969951,-0.26811956809461424,-0.12356103687106287,0.029505332537496782,0.8344941558954377,0.2434779972912212,0.6596631490779801,0.5767851552471013,-0.9080029966320912,0.7973295702244044,-0.9548670266665922,-0.42027517628897376,0.1472640503695065,-0.8480631286133876,0.4733645334622363,-0.8451992630358911,0.03465621156604525,-0.8492955076697464,0.08140349582095546,0.4770614104783104,0.8162686443254482,0.8030448493381491,-0.7406241001923565,0.7342335855526368,2.1051882595820786,True
12,12,bee,56.9,39.6,2.0,0.0,0.0,0.0,3778.0,42390.0,9340.0,20089.0,3332.0,18.6,32.2,18.4,24.9,20.8,16.5,16.8,79.4,13.4,0.0,2.0,1.3,2.0,26.7,984.0,69.6,22.0,8.2,0.0,7.3,15883.0,39.0,10.0,12.0,0.2946546622174652,17.679279733047913,1.0636587382796128,0.7719624356645817,-0.3045743137297777,0.8364244678255891,-0.4742937927935753,-0.953114213578558,-0.9987184471507256,-0.5050314375970831,0.4304274897860088,-0.6506512221169306,0.7719624356645817,-0.5441337101387852,0.5411388561448763,-0.4765761877634167,0.28706734239568965,0.6239423662639023,-0.8400328733517706,0.30563610410147873,0.8924064181963993,-0.9107781935276448,-0.9302124119348548,-0.2519151835895516,0.9406260992139728,-0.5088851638657155,-0.34692647339656346,-0.04259311159606214,0.5385786940093021,0.08127856102211313,-0.7569528150922098,0.3873320525281709,0.4656923899936292,True
13,13,bell,20.6,45.2,18.8,0.1,2.0,0.0,3109.0,45863.0,7063.0,21428.0,2707.0,15.55,20.9,29.7,19.6,25.5,9.7,11.3,82.7,10.1,0.0,1.4,1.1,3.0,19.7,1653.0,71.6,21.3,4.7,0.0,9.6,195604.0,347.0,46.0,12.0,0.9792437782458436,58.754626694750606,-0.08577683952890858,0.8871548557755464,0.6325776109475909,-0.6782672383168484,-0.8925274848084506,-0.4467077469862832,0.5249245926380581,-0.012844234993658972,-0.5473091039683154,0.29763000830593384,0.8871548557755464,0.4969725362420727,0.4161904592933173,0.3428397748656853,-0.8187198792108811,0.8042153497995652,-0.6297165234216199,-0.6468629589408544,-0.4474618382038165,-0.9632106890665001,0.6492362543077465,-0.8485269839297076,0.3546681705179389,-0.717346057852058,0.2970047915408988,0.5127045711859792,0.4770222117886248,0.6075413818881662,-0.6331180804794623,0.6823346150893811,2.3406064598828578,True
