,County,CensusTract,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,Voters,Workers,Locations,Hours,eff_score
135,mclennan,48309021655.78432,25.541999999999994,56.04600000000001,15.262000000000002,0.15200000000000002,1.3719999999999999,0.014000000000000002,3299.8039215686276,43559.0,7018.0,20987.18,2977.66,23.636734693877546,30.06122448979593,29.956000000000007,19.768,25.272,10.621999999999998,14.383999999999997,80.98400000000002,11.723999999999998,0.52,2.7540000000000004,0.8859999999999999,3.1239999999999997,18.421999999999997,2112.4901960784314,80.916,13.55,5.412000000000001,0.118,6.942000000000003,137950,198,33,12,0.5683798477709315
136,mcmullen,48311950100.0,48.1,50.4,0.0,1.5,0.0,0.0,568.0,46250.0,15303.0,27608.0,8792.0,11.8,11.3,25.9,22.2,30.9,10.8,10.2,75.8,6.4,6.4,4.4,2.7,4.4,11.8,324.0,60.5,25.6,12.7,1.2,14.1,687,12,4,12,0.8384279475982532
137,medina,48325000350.75,49.7,47.0125,1.6124999999999998,0.4125,0.2375,0.0375,4313.75,54736.5,8797.875,23998.375,4178.125,15.399999999999999,20.825,30.787499999999998,20.15,23.975,13.237499999999999,11.85,81.575,12.487499999999999,0.1375,1.8375,0.8999999999999999,3.075,29.0,2451.25,71.325,19.25,9.2875,0.1375,6.2625,31508,35,7,12,0.09330963564808938
138,menard,48327950300.0,36.8,58.8,1.2,0.5,0.0,0.0,1604.0,34464.0,7243.0,22016.0,5782.0,14.9,21.2,28.6,23.7,17.9,20.5,9.3,73.8,17.3,0.0,3.5,0.3,5.1,17.5,797.0,52.9,24.6,21.0,1.5,8.3,1437,13,3,12,0.325678496868476
139,midland,48329040473.888885,42.02307692307693,48.6576923076923,6.003846153846155,0.3384615384615384,1.5230769230769234,0.09230769230769233,3684.777777777778,69040.69230769231,14279.423076923076,34774.07692307692,5308.346153846154,9.403846153846153,11.476923076923075,30.900000000000002,14.838461538461539,26.007692307692306,16.326923076923073,11.934615384615382,84.48076923076921,10.219230769230766,0.2807692307692307,1.1076923076923078,1.6961538461538461,2.226923076923077,18.984615384615385,2842.3333333333335,81.20769230769231,11.288461538461538,7.26153846153846,0.23076923076923078,3.765384615384616,84588,99,20,12,0.2808909065115619
140,milam,48331950457.57143,23.800000000000004,64.95714285714284,8.157142857142857,0.12857142857142856,0.48571428571428577,0.0,2469.5714285714284,41657.28571428572,10002.42857142857,22719.428571428572,3987.4285714285716,16.94285714285714,25.557142857142853,30.185714285714287,16.614285714285714,22.585714285714285,17.928571428571427,12.671428571428569,76.94285714285715,14.628571428571428,0.18571428571428572,1.0,2.257142857142857,4.957142857142857,25.800000000000004,1316.0,66.5,22.599999999999998,10.314285714285715,0.5714285714285714,8.985714285714286,14851,40,8,12,0.2585684465692546
141,mills,48333950150.0,15.8,83.5,0.35,0.0,0.05,0.0,1716.0,42647.5,6356.0,22864.0,3501.0,15.100000000000001,25.85,32.95,14.25,26.1,14.75,11.899999999999999,83.55000000000001,7.95,0.0,2.8,0.7,5.0,19.700000000000003,943.5,69.2,20.4,10.2,0.2,3.4,3381,21,7,12,0.5217391304347826
142,mitchell,48335950300.0,34.6,56.75,7.1,0.25,0.3,0.0,3445.5,49006.0,4782.0,23555.5,3695.5,12.5,16.3,28.950000000000003,21.5,16.8,20.2,12.55,81.19999999999999,13.15,0.45,0.6000000000000001,0.55,4.05,23.0,1477.5,62.3,27.75,9.45,0.5,4.85,4569,32,790,12,66.39527248850952
143,montague,48337950350.0,9.5,87.64999999999999,0.21666666666666667,0.25,0.3333333333333333,0.0,2379.8333333333335,45928.333333333336,6886.333333333333,25927.333333333332,3828.0,14.65,21.283333333333335,29.433333333333334,16.3,20.116666666666667,15.75,18.416666666666664,79.46666666666668,11.4,0.0,2.0666666666666664,0.6333333333333333,6.45,25.05,1365.5,75.01666666666667,14.066666666666668,10.516666666666666,0.4333333333333333,6.566666666666666,12853,28,10,12,0.26141756788298454
144,montgomery,48339692373.49152,22.961016949152544,68.11186440677965,3.6728813559322036,0.30338983050847457,2.269491525423729,0.013559322033898306,5553.71186440678,72742.44067796611,11748.322033898305,34731.779661016946,4673.796610169492,13.032203389830508,18.26949152542373,37.09661016949154,16.73728813559322,23.393220338983053,11.083050847457631,11.686440677966102,80.31186440677963,11.24915254237288,1.2254237288135594,1.0627118644067797,1.347457627118644,4.810169491525423,32.50169491525424,3902.677966101695,79.75254237288135,11.683050847457626,8.455932203389832,0.09491525423728817,6.162711864406781,334476,644,95,12,2.1949556918882074
145,moore,48341950250.0,51.45,37.349999999999994,2.25,0.375,7.5,0.0,2762.5,48472.0,5912.25,19934.5,2216.75,19.4,29.9,20.775,15.350000000000001,18.224999999999998,19.325,26.325000000000003,76.55,18.0,0.39999999999999997,1.45,2.025,1.575,16.875,2678.5,81.7,12.025000000000002,5.95,0.35000000000000003,4.075,9771,17,7,12,0.1461467608228431
146,nacogdoches,48347950569.69231,17.346153846153847,58.96923076923077,20.5,0.3923076923076923,1.5538461538461539,0.0,3551.6923076923076,40170.0,8027.0,21201.69230769231,3139.3076923076924,26.415384615384614,31.546153846153842,31.115384615384617,18.884615384615383,22.130769230769236,11.600000000000001,16.253846153846155,79.07692307692308,12.153846153846153,0.15384615384615388,4.115384615384616,1.7692307692307692,2.723076923076923,19.884615384615383,2126.0,73.56153846153846,18.9,7.40769230769231,0.1,9.153846153846155,36993,68,17,12,0.37498986294704406
147,navarro,48349970550.0,24.659999999999997,59.44,12.959999999999999,0.29000000000000004,0.8099999999999999,0.54,3164.0,40063.2,6579.6,20449.0,2614.1,21.520000000000003,32.46,25.78,20.19,21.759999999999998,11.87,20.410000000000004,81.84,11.64,0.06,1.7900000000000003,1.2599999999999998,3.4,24.63,2015.9,74.16,17.6,8.07,0.18000000000000002,10.29,28607,80,20,12,0.6711644003215996
