,State,County,Unnamed: 0,Tract,Drive,Carpooled,Transit,Walked,Other,MBSA,Service,Office,Construction,Production,IRural,IConstruction,IManufacturing,IWholesale,IRetail,IUtilities,IInformation,IFinance,IProfessional,ISocial,IRecreation,IOther,IPublic
1483,missouri,cape girardeau,14547080,704680.0,150810.0,19610.0,495.0,5115.0,1665.0,58145.0,33625.0,49260.0,21470.0,24165.0,2490.0,15000.0,21265.0,6065.0,23080.0,8050.0,4535.0,9410.0,11260.0,52165.0,19130.0,8060.0,6155.0
1484,missouri,carroll,2728290,144030.0,16945.0,3080.0,55.0,645.0,165.0,7060.0,4020.0,3920.0,3815.0,4000.0,2370.0,2105.0,3160.0,410.0,2045.0,1245.0,405.0,1365.0,695.0,5640.0,1335.0,1150.0,890.0
1485,missouri,carter,1818985,96015.0,9920.0,1490.0,0.0,400.0,65.0,3465.0,2715.0,2355.0,1570.0,2685.0,770.0,870.0,2190.0,130.0,990.0,1250.0,190.0,25.0,510.0,3525.0,1545.0,400.0,395.0
1486,missouri,cass,18195350,60606.25,197035.0,26580.0,895.0,2755.0,2000.0,77665.0,36090.0,65845.0,31585.0,31490.0,3335.0,26345.0,25845.0,8495.0,30885.0,13065.0,8650.0,18925.0,22485.0,44140.0,14510.0,14180.0,11815.0
1487,missouri,cedar,2730165,130530.0,19370.0,2820.0,30.0,1760.0,110.0,7255.0,5550.0,6220.0,3185.0,4675.0,1500.0,1840.0,3660.0,725.0,3260.0,1470.0,110.0,1190.0,1410.0,8295.0,1615.0,985.0,825.0
1488,missouri,chariton,2730390,70530.0,14250.0,1500.0,0.0,475.0,165.0,5575.0,2145.0,4180.0,2920.0,3335.0,1830.0,1485.0,2035.0,745.0,2225.0,1535.0,705.0,1110.0,390.0,3890.0,555.0,935.0,715.0
1489,missouri,christian,12744795,14181.900000000009,148600.0,19485.0,190.0,2100.0,2970.0,63925.0,28180.0,50535.0,18855.0,21965.0,1540.0,13935.0,15875.0,8360.0,25110.0,10580.0,3650.0,13900.0,15295.0,41500.0,16630.0,10560.0,6525.0
1490,missouri,clark,2731665,142530.0,11715.0,2120.0,100.0,495.0,225.0,4115.0,2160.0,3220.0,1820.0,4310.0,1055.0,1380.0,3535.0,325.0,2460.0,1045.0,255.0,335.0,610.0,2900.0,755.0,455.0,515.0
1491,missouri,clay,40090270,46771.59999999998,470105.0,51630.0,4350.0,6910.0,4445.0,207965.0,83480.0,157090.0,42290.0,71530.0,3015.0,30155.0,65295.0,22685.0,64720.0,37685.0,14715.0,51930.0,54945.0,117350.0,49940.0,24010.0,25910.0
1492,missouri,clinton,3646970,192050.0,38980.0,5830.0,30.0,1230.0,510.0,13055.0,8985.0,12600.0,7005.0,8295.0,1610.0,3765.0,7335.0,1600.0,5590.0,3275.0,640.0,3255.0,3200.0,10975.0,2930.0,2330.0,3435.0
