,State,County,Registered Voters,Votes Cast,Polling Locations,Poll Workers,Population,WhiteP,BlackP,HispanicP,AsianP,IndianP,IslanderP,Hours,registered_turnout,registration_rate,time_to_vote
0,arizona,apache,54880,25559,42,278,71518,20.705608537693006,0.2228088101725704,5.837023160762942,0.2696412352406903,72.9294391462307,0.03405994550408719,13.0,0.4657252186588921,0.7673592661987192,165.94897959183675
1,arizona,cochise,87235,45927,17,171,131346,60.027568805196026,3.8681993053284107,33.13162936311387,1.8900985935236672,0.7834524866439263,0.29827266638630595,13.0,0.5264744655241589,0.6641618321075632,25.992548862268585
2,arizona,coconino,98739,55948,55,351,134421,56.5078063301136,1.1458902861308546,13.79472693032015,1.369145252414799,27.076878682947573,0.10479314743940224,13.0,0.5666251430539098,0.7345504050706363,152.50205086136177
3,arizona,gila,37034,20825,17,104,53597,66.64216517773002,0.36940706396773343,18.070790455727696,0.4881450488145049,14.363526706622944,0.06408081721889253,13.0,0.5623211103310471,0.6909715095994179,37.23713344494249
4,arizona,graham,21156,10786,9,44,37220,53.03721814724259,1.7576745449606086,30.75251290410215,0.5270306981798425,13.789731051344745,0.13311600108666125,13.0,0.509831726224239,0.5684040838259,14.600113442994896
5,arizona,greenlee,5045,2599,5,28,8437,48.45336199689478,0.9435088976471993,48.250328436641595,0.5254986265376806,1.719813686850591,0.09554520482503284,13.0,0.5151635282457879,0.597961360673225,21.645193260654114
6,arizona,la,12014,5164,8,59,20489,64.05293795711229,0.5771431414498234,23.91163739489527,0.4577342156326185,10.970695059455695,0.024876859545251002,13.0,0.42983186282670216,0.5863634145151057,30.64424837689362
7,arizona,maricopa,2557282,1454103,494,3021,3817117,59.89445917326975,4.7685657205933705,30.102657882532156,3.46091983788306,1.5906597941828533,0.1827109223047872,13.0,0.5686126911306614,0.6699511699536588,455.19098793171815
8,arizona,mohave,151948,72545,21375,351,200186,80.99133294091381,0.8727951772992064,15.00446546369781,1.0356831144579537,1.9323279274159173,0.16288793715874722,13.0,0.4774330692078869,0.7590340982885916,38513.48816700451
9,arizona,navajo,73098,37172,39,284,107449,44.64071488622086,0.7953675977442544,10.930164457837016,0.5204840218017626,43.048090456533444,0.06423396276319394,13.0,0.5085228050015048,0.6803041442917105,118.1876385126816
10,arizona,pima,644066,393352,232,2002,980263,56.39593181492622,3.2565618064767934,35.16812715258185,2.5769739396166407,2.460197347251027,0.1421041377320221,13.0,0.6107324404641761,0.6570338776430407,562.4919185300885
11,arizona,pinal,226812,118345,97,721,375770,59.85447317610804,4.3658047167588725,28.969153404336556,1.6729897990408336,4.7294863775086045,0.4078217282867425,13.0,0.5217757437878067,0.6035926231471379,240.5113486058939
12,arizona,yavapai,162485,109551,25,249,211033,83.37134773068485,0.5336451476305963,13.823767178658045,0.8257304538630326,1.3550448473649768,0.08998344689533049,13.0,0.6742222358986983,0.7699506712220363,29.882758408468472
13,arizona,yuma,114326,44362,9,123,195751,35.77087141986593,1.6608310352306883,60.37657897726685,1.071070760904368,1.0147801567874073,0.1053512223840362,13.0,0.38803071917149207,0.5840378848639343,7.552612704021833
14,arkansas,arkansas,10161,5003,6,39,19019,71.93150393533291,24.659646883641773,2.7281429483088706,0.4892576047649437,0.17549457562220802,0.010636034886194426,12.0,0.4923727979529574,0.5342552184657448,16.58104517271922
15,arkansas,ashley,12719,6193,11,78,21853,68.71946160228634,25.91038996957684,4.927629759380474,0.18438277864847424,0.24430718170922835,0.009219138932423713,12.0,0.4869093482191996,0.5820253512103601,48.569856120764214
16,arkansas,baxter,29640,14508,11,134,41513,97.20806612859964,0.14386384140840264,1.6775986930335762,0.399892711711492,0.5291263319597181,0.0390139230938041,12.0,0.48947368421052634,0.7139932069472213,35.80566801619433
17,arkansas,benton,159483,77929,34,270,221339,78.19314928519482,1.2243282304314609,15.779565685669837,2.91997680220195,1.5888650569358655,0.29365466579521504,12.0,0.48863515233598565,0.7205372754010816,41.443915652451984
18,arkansas,boone,24077,11684,14,85,36903,96.78183069511357,0.200963523743978,1.8554714384033035,0.42119752236751545,0.6799724707501721,0.0578114246386786,12.0,0.48527640486771606,0.6524401810150936,35.58582879926901
19,arkansas,calhoun,3424,1780,5,27,5368,74.26096780267369,22.46281302956129,2.8619845603464515,0.2071173037092826,0.18828845791752968,0.0,12.0,0.5198598130841121,0.6378539493293591,28.38785046728972
20,arkansas,carroll,16603,9087,6,57,27446,85.32249122158565,0.2735169099981519,12.895952688966918,0.6024764368878212,0.8427277767510627,0.059138791350951764,12.0,0.5473107269770523,0.6049333236172848,14.831054628681564
21,arkansas,chicot,6355,3607,1893,59,11800,40.59810854562495,54.10241117832496,4.617875095850729,0.4515634318820823,0.19596148930731871,0.02556019425747636,12.0,0.5675845790715972,0.5385593220338983,12653.759244689221
22,arkansas,clark,12079,6801,9,56,22995,71.32728553813634,23.661264752510128,4.0778580236040165,0.5284481240091597,0.3787211555398978,0.02201867183371499,12.0,0.563043298286282,0.525288106110024,30.042222038248198
23,arkansas,clay,8234,4185,10,53,16083,97.90816006030529,0.35178089075946983,1.3631509516929456,0.11307242917268673,0.2512720648281927,0.006281801620704818,12.0,0.5082584406120962,0.5119691599825903,46.344425552586834
24,arkansas,cleveland,4922,2604,13,70,8689,85.70932252460915,12.20613781123335,1.679212507237985,0.11580775911986102,0.26635784597568035,0.011580775911986104,12.0,0.5290532303941488,0.5664633444585108,133.1166192604632
25,arkansas,crawford,34569,16950,14,98,61948,88.92799894237602,1.1534711549584389,6.213540892039727,1.4624956620891378,2.2094425991109348,0.03139821195445607,12.0,0.4903237004252365,0.5580325434235165,28.575891694871128
26,arkansas,crittenden,29531,12020,24,125,50902,45.67306739591383,51.46146681727206,2.009393020628976,0.6024215762043478,0.2397796405287042,0.011889899530348969,12.0,0.40702990078222884,0.5801540214529881,73.1434763468897
27,arkansas,desha,6988,3582,8,60,13008,47.11069853794384,47.79918001083004,4.471261700317165,0.3326371161135608,0.2630153941363038,0.01547149377272376,12.0,0.5125930165998855,0.5372078720787208,49.45621064682312
28,arkansas,faulkner,75001,38818,24,177,113237,83.90550615287883,10.362885116320847,3.9836522051558436,1.151531482978532,0.5542082098266415,0.04131860235336388,12.0,0.5175664324475674,0.6623365154498971,40.780256263249825
29,arkansas,franklin,9876,5312,6,41,18125,95.13818954906569,0.6937451046212376,2.075640595278057,0.9287232852187536,1.023833501174891,0.13427324605572338,12.0,0.5378695828270554,0.5448827586206897,17.93438639125152
30,arkansas,greene,21564,11066,13,67,42090,96.52198976773235,0.5596521989767732,2.1641486320947325,0.26661542526361304,0.4683784497874282,0.016813585376984602,12.0,0.5131700983120014,0.5123307198859587,29.08180300500835
31,arkansas,hempstead,10692,4395,9,62,22609,57.28433788931211,29.728881917992386,12.157741429531706,0.398834864440959,0.34954066771230113,0.07618194039883487,12.0,0.4110549943883277,0.4729090185324428,37.57575757575758
32,arkansas,hot,18204,8794,4110,48,32923,85.43868840334062,10.946408209806158,2.832136583561897,0.28968535239914944,0.4499368239391045,0.04006286788498875,12.0,0.48308064161722697,0.5529265255292652,7802.768622280818
33,arkansas,howard,7237,3464,7,48,13789,68.08526223263989,20.65631409317316,9.881336067975386,0.6152944623498389,0.688543803105772,0.06592440668033987,12.0,0.47865137487909354,0.5248386394952498,33.428216111648474
34,arkansas,johnson,15490,7500,11,64,25540,84.76621417797888,1.3376200682702228,12.280701754385964,0.6985790267524014,0.8335317932841153,0.07938398031277287,12.0,0.4841833440929632,0.6064996084573219,32.72304712717882
35,arkansas,lincoln,6168,3053,13,73,14134,66.32667617689016,30.04279600570613,3.2239657631954346,0.14265335235378032,0.24964336661911554,0.007132667617689016,12.0,0.49497405966277563,0.436394509692939,110.77821011673153
36,arkansas,lonoke,45500,20984,13,67,68356,89.32070542129325,6.037349326049522,3.3341250519565344,0.7852859093878036,0.4883914256873108,0.032658393207054215,12.0,0.4611868131868132,0.6656328632453625,13.782857142857143
37,arkansas,madison,10096,5640,17,80,15717,93.22503706568683,0.17404757300328758,4.89267066331464,0.5221427190098626,1.1087475020950173,0.07090827048282086,12.0,0.5586370839936609,0.6423617738754215,96.98890649762282
38,arkansas,miller,27156,11484,13,51,43462,71.70013761574884,24.712523033144407,2.4211041914491642,0.4594966529050917,0.662421570685513,0.04198446574767336,12.0,0.4228899690676094,0.6248216833095578,17.578435704816616
39,arkansas,monroe,4566,2722,11,72,8149,56.40104102119221,41.14512331143885,1.6358904449126286,0.446151939521626,0.35940017350353204,0.0,12.0,0.5961454226894437,0.5603141489753344,124.88830486202365
40,arkansas,nevada,5683,2516,9,65,8997,65.89835844389475,31.00966944007196,2.4735776928266247,0.2810883741848437,0.3148189790870249,0.011243534967393748,12.0,0.44272391342600736,0.6316549961098143,74.11578391694528
41,arkansas,newton,6407,3094,19,76,8330,96.88420019627085,0.06133464180569185,1.7296368989205102,0.2698724239450442,1.0304219823356229,0.01226692836113837,12.0,0.4829093179335102,0.7691476590636255,162.27251443733417
42,arkansas,ouachita,16141,7460,6,35,26120,57.16836833728017,40.54893435304165,1.5839124189603635,0.3688031367677316,0.3105710625412477,0.015528553127062384,12.0,0.4621770646180534,0.6179555895865237,9.367449352580387
43,arkansas,perry,6320,3734,9,50,10445,94.9359720605355,1.9014357780364768,2.396197128443927,0.16492045013581685,0.5723709740007761,0.019402405898331396,12.0,0.5908227848101266,0.6050741981809479,51.265822784810126
44,arkansas,phillips,13052,5653,17,71,21757,34.92217898832685,63.261997405966284,1.3294422827496757,0.2964609968501019,0.18065591995553085,0.004632203075782842,12.0,0.433113699049954,0.5998988831180769,66.5828991725406
45,arkansas,pike,5486,3263,4,33,11291,89.43921040825481,2.94302377747869,6.523104531179903,0.5114401076716016,0.5652759084791386,0.008972633467922835,12.0,0.5947867298578199,0.4858737047205739,17.32409770324462
46,arkansas,polk,11983,6135,8,63,20662,91.64897031952196,0.26667983604128603,5.876833423872784,0.4592819398488814,1.7186033878216207,0.024692577411230186,12.0,0.511975298339314,0.5799535378956538,30.282900776099474
48,arkansas,saline,75824,41849,16082,204,107118,90.08736717827627,4.688547815820543,3.860212514757969,0.8783943329397874,0.4675324675324675,0.017001180637544272,12.0,0.5519228740240557,0.7078548890009149,31152.724203418446
