,County,State,Total Pop.,VAP Males,VAP Females,Pop. 20 to 24,Pop. 25 to 34,Pop. 35 to 44,Pop. 45 to 54,Pop. 65 to 74,Pop. 75 to 84,Pop. 85+,Race Total Pop.,White,Black,Native,Asian,Islander,Other,Pop. 0 to 9,Pop. 10 to 19,Pop. 55 to 64
172,Otero,NM,66781,24660,23189,4367,10030,7901,7108,6506,3387,829,66781,55536,2966,5286,1255,833,3436,9058,8666,8929
692,Valencia,NM,76456,27383,27951,3813,10006,9789,8419,8244,3677,1754,76456,64670,1156,4913,621,0,8407,10394,9931,10429
285,Bernalillo,NM,678701,238712,257721,45647,100100,87474,82327,66685,30844,13687,678701,556725,28573,42494,24651,1006,58095,73203,90469,88265
62,Santa Fe,NM,150056,50788,57723,7466,16579,17106,18728,23437,10401,2730,150056,130356,2404,6534,3050,162,14069,13412,16984,23213
592,McKinley,NM,72290,23665,26628,4822,10238,8244,8512,4993,2774,1514,72290,9766,330,58675,825,0,3970,10004,13159,8030
787,Sandoval,NM,145179,52803,56854,7940,18236,18245,18300,16289,7380,2094,145179,113204,4045,19781,3179,1441,7112,16164,20281,20250
389,Lea,NM,69611,20203,20996,4763,9731,10461,5954,4770,2162,924,69611,64418,2881,884,765,0,1745,9898,13650,7298
484,Clark,NV,2231647,738362,747917,134338,332521,308397,296441,201469,96204,31017,2231647,1386548,313971,42931,275929,33824,321491,278712,288389,264159
586,Washoe,NV,465735,168369,167988,30448,70298,56707,58870,48330,20656,7186,465735,370304,16992,11487,33096,6838,50224,56225,55575,61440
696,Richmond,NY,476179,159673,177961,27976,64892,59313,65569,45983,22470,8601,476179,357722,54888,1556,52604,260,22721,55895,59657,65823
390,Jefferson,NY,111755,44161,38660,11377,18072,12942,12009,9065,4745,1648,111755,100037,9591,1775,2851,436,2793,16757,12781,12359
694,Oswego,NY,117898,46314,45971,8771,14844,12574,16103,11699,6041,1709,117898,114018,2315,1154,1626,0,1206,12207,16636,17314
64,Ulster,NY,178599,69705,71506,12870,22521,21087,23993,20406,10321,4398,178599,158799,14456,2020,4867,0,8785,15827,19745,27431
695,Queens,NY,2278906,662712,733355,130400,366269,313311,308299,201575,110882,45173,2278906,902599,453080,21234,627785,5306,361992,255758,246206,301033
173,Onondaga,NY,461809,166250,184614,32733,60838,51934,58434,44565,22284,12018,461809,381687,62806,7702,21256,234,4708,55709,58332,64962
174,Ontario,NY,109864,41342,44414,7042,12114,12076,15508,12678,6322,2645,109864,103561,4276,508,1623,0,2383,11934,12918,16627
175,Rensselaer,NY,159442,60620,63870,11114,22408,18678,20559,16007,6818,3732,159442,142380,15432,1657,5290,0,1486,16304,20822,23000
176,Warren,NY,64265,25230,26659,3034,7316,7081,8857,8507,3593,2261,64265,61665,964,0,1366,0,429,6920,6021,10675
177,Wayne,NY,90064,34215,35498,4799,10314,9704,12297,9930,5252,2110,90064,86340,3676,672,817,0,913,9653,11472,14533
693,Oneida,NY,229577,87382,89036,13912,30285,24998,29494,23065,12601,6889,229577,199756,18072,1161,10824,0,4126,26525,29037,32771
698,Westchester,NY,967612,314046,352503,60610,111221,123159,138580,88333,50422,26582,967612,633317,158732,8854,68609,1272,129006,110421,126011,132273
63,St. Lawrence,NY,108047,42904,40938,8883,12367,11597,14073,10731,5187,2550,108047,101312,3366,1249,1627,298,1610,11575,16098,14986
788,Schenectady,NY,155350,57747,61526,11470,17988,20252,19447,14836,7702,4314,155350,124761,21370,2029,9234,0,5712,17064,21063,21214
697,Steuben,NY,95796,36990,36904,5151,10970,11318,12561,10810,5693,2160,95796,92341,2219,581,1712,0,554,11264,11250,14619
593,Cattaraugus,NY,76840,29287,30494,4737,8445,8630,10083,8449,4668,1524,76840,72146,1838,3030,948,0,676,8715,10018,11571
595,Kings,NY,2582830,762148,907154,159102,474567,360310,303300,204057,108944,45796,2582830,1202854,864382,17643,347387,3849,247773,343291,295114,288349
594,Cayuga,NY,77145,30978,29710,4008,10239,9328,10250,8238,4408,1676,77145,72376,4264,675,774,0,592,8583,8485,11930
290,Orange,NY,381951,132866,135142,27763,45386,45399,52407,31913,14421,7057,381951,291776,51738,5682,15060,0,34676,50296,58652,48657
289,Nassau,NY,1358343,463760,508033,86361,159096,163265,189199,132963,69184,39183,1358343,948661,180030,11761,150097,1314,105846,153500,170728,194864
288,Chemung,NY,84254,30943,34528,4974,9789,9483,10979,9519,5189,1905,84254,77424,7393,485,1751,0,616,10861,8791,12764
287,Chautauqua,NY,127939,49494,51470,7752,15435,13759,15620,14268,7411,3908,127939,118691,4689,1248,1249,0,4538,13658,16215,19913
286,Bronx,NY,1432132,383501,468738,104329,230160,181132,179609,101971,60006,21188,1432132,358929,548317,18710,65784,4485,503600,197250,196162,160325
596,Madison,NY,70795,27485,28903,5654,7055,7205,9372,7724,3974,1389,70795,67255,1429,0,1991,0,782,7156,10280,10986
597,Monroe,NY,742474,267215,295727,51462,104660,85044,94181,72844,37580,17686,742474,580162,126412,7215,34163,683,18320,82317,94067,102633
598,Tompkins,NY,102793,38791,41670,17285,13162,10505,10480,8586,3584,2039,102793,84519,6076,1263,11698,0,2721,8572,17177,11403
486,Broome,NY,191659,71145,76066,16868,22983,19934,22191,19617,10842,6334,191659,167104,14153,1121,10135,0,3761,20565,24995,27330
487,Clinton,NY,80695,33592,30910,7667,10736,8927,10269,7865,4160,1498,80695,73626,3963,151,1036,0,2439,7304,10412,11857
488,Dutchess,NY,293718,111036,113500,21801,34866,33956,41268,29217,15868,6488,293718,238771,38389,2958,13124,0,11639,28174,37484,44596
489,Erie,NY,919719,338875,369582,58010,131523,102997,116781,91755,49490,23971,919719,733439,136092,10014,39625,256,27639,101743,110949,132500
485,Albany,NY,307117,113566,123429,31561,40393,34783,37943,30005,15261,7050,307117,240720,49365,3981,23862,0,3777,28807,41267,40047
491,New York,NY,1628701,544203,629850,111359,364144,233082,199097,146350,82875,39609,1628701,964150,275247,34563,227248,2156,214954,135783,131721,184681
490,Livingston,NY,63227,25800,25533,5232,6989,6600,8505,6462,3639,1016,63227,59911,2463,620,1083,0,507,5852,9232,9700
392,Putnam,NY,98892,36881,37475,6135,11523,10716,15885,10434,5064,1596,98892,84719,3681,690,2631,0,8780,9743,12170,15626
393,Rockland,NY,325695,102579,110312,21799,36801,36443,39698,27953,15280,7876,325695,241578,45384,1611,22163,552,25461,50661,49690,39494
394,Sullivan,NY,75498,29141,27363,3693,8462,8507,11018,8370,4711,1117,75498,63005,8356,917,1622,0,3935,8409,10013,11198
391,Niagara,NY,210433,79879,85697,12336,25584,23381,28445,23034,10979,5800,210433,188785,19262,4269,3181,0,1685,21090,25899,33885
493,Suffolk,NY,1481093,525496,555083,95867,175556,173904,219165,140468,78511,31103,1481093,1235235,135104,11924,70597,2774,64392,159273,191799,215447
492,Saratoga,NY,230163,87535,92108,14118,26485,28238,34499,24666,12108,4076,230163,216898,6468,1283,8212,0,1904,23778,28990,33205
72,Lucas,OH,429899,154362,170128,28063,60107,49641,53205,41432,20316,8461,429899,329578,95614,4218,10002,825,16414,52892,56840,58942
71,Lorain,OH,309461,115592,121805,20119,33439,37345,41272,33246,16565,7094,309461,274543,32511,2645,5325,0,4461,36287,39658,44436
70,Lake,OH,230514,85346,92588,12685,26979,26814,31631,26430,14070,5847,230514,213368,13674,1418,4361,0,3229,23526,27181,35351
793,Allen,OH,102663,39832,39185,7334,12169,11515,12463,10071,5928,1931,102663,88280,14969,869,1175,0,1291,12851,13971,14430
794,Erie,OH,74615,28458,30743,4287,8599,8218,9591,9152,4287,2718,74615,65305,8707,1399,0,0,1037,7751,8585,11427
795,Geauga,OH,94031,35678,36750,5401,8062,9668,12912,11093,6387,2027,94031,91720,1377,311,881,0,0,10422,13563,14496
705,Wood,OH,130696,50009,52352,15919,15805,14175,14810,11728,5533,2790,130696,122876,4787,1643,3095,0,1926,14405,18937,16594
704,Marion,OH,65256,27393,23519,4053,8788,7939,8401,6753,2965,1689,65256,60427,5323,658,498,203,476,8084,7422,9162
185,Licking,OH,175769,63760,69238,10560,20615,21057,24424,16778,8435,3520,175769,162387,9623,1862,4632,0,1148,22602,23032,24746
184,Jefferson,OH,65767,25498,27547,5051,6985,6799,8558,8211,4728,1518,65767,61051,3882,197,1351,0,390,5847,7938,10132
796,Muskingum,OH,86183,32043,34366,5280,10324,10047,11601,8667,5098,1424,86183,81816,6022,634,827,0,0,10018,11562,12162
797,Portage,OH,162927,62440,67803,18936,18497,17266,20776,16502,7921,2762,162927,152300,10048,0,4157,0,377,16740,21145,22382
798,Trumbull,OH,198627,75294,81381,10719,23088,21694,25541,24720,12163,6266,198627,180313,19347,1183,1564,0,356,20833,23823,29780
303,Montgomery,OH,532331,190196,212515,34993,72345,61136,65056,53821,28177,13646,532331,402503,121914,6149,15602,1098,5298,64082,67234,71841
73,Summit,OH,541918,200601,218453,33039,71406,64317,70180,56533,27869,13065,541918,436550,88277,3580,24017,0,5588,60253,66221,79035
507,Miami,OH,106222,39409,41381,5165,12499,12622,13558,11586,7128,1822,106222,102481,2689,1724,2174,0,0,13633,13242,14967
607,Richland,OH,121099,47539,46678,6683,15042,14570,15950,12614,7370,3751,121099,108847,13236,1432,1158,0,367,13560,14741,16818
508,Scioto,OH,75502,29028,29768,4467,9381,9291,9634,7602,4253,1671,75502,71939,3192,1335,0,0,0,9186,9524,10493
504,Butler,OH,382378,134737,144815,33590,43083,46430,49609,33315,16467,6490,382378,327923,38565,4221,16381,321,7262,45017,58710,49667
503,Athens,OH,65818,26948,27837,12430,8099,6331,6472,5271,2263,1103,65818,61686,2748,1076,2293,0,0,4401,11808,7640
304,Warren,OH,232173,83831,82640,12049,27539,31796,33952,20150,8791,4439,232173,208736,9865,1263,15964,0,443,25761,36862,30834
297,Clermont,OH,205466,75160,80112,11654,25733,26111,27457,20034,9755,3187,205466,199533,4907,1250,3626,0,1317,26929,24977,29629
298,Cuyahoga,OH,1243857,445847,510181,78984,176068,142943,154374,125549,68780,31808,1243857,815544,393663,12607,50439,1867,19243,137156,150436,177759
400,Ashtabula,OH,97493,37851,38011,5759,11139,10564,13418,10840,5448,2281,97493,93080,5348,792,0,0,0,11488,11712,14844
401,Belmont,OH,67505,27817,26225,3340,8216,7821,8749,8320,3961,2069,67505,64667,3050,686,710,67,402,6757,7531,10741
402,Hancock,OH,75930,28615,29884,4421,10396,9019,9796,7220,3632,1977,75930,71921,2441,872,1528,0,1570,9300,9628,10541
186,Wayne,OH,115967,42651,44347,7764,13619,12469,13762,11401,6497,2366,115967,111606,3992,297,848,0,819,15155,16336,16598
403,Ross,OH,76931,31982,28525,4728,9469,9537,11490,7663,5001,692,76931,71552,5009,877,1411,0,292,8346,9301,10704
404,Stark,OH,371574,137164,149912,22005,43718,43261,47272,40575,21692,9795,371574,334447,36255,3488,4811,0,4837,43401,45762,54093
300,Franklin,OH,1310300,447152,488126,88600,239951,175239,155347,95467,43894,18180,1310300,905542,333341,17281,85598,2207,27973,174662,170203,148757
301,Hamilton,OH,816684,287539,319928,53323,125104,96712,98142,71904,36216,16897,816684,571230,229033,5947,28999,1586,8052,102192,107610,108584
302,Medina,OH,179146,66611,70194,9099,19628,22615,25803,18922,10152,3000,179146,173724,3941,1087,2818,0,1377,19935,24217,25775
405,Tuscarawas,OH,92176,33944,36440,5460,10939,10742,11059,10052,5723,2252,92176,91421,2492,784,486,0,0,11919,11122,12908
604,Columbiana,OH,102665,41367,40290,5532,11306,11755,13766,12380,6648,2147,102665,98993,4661,488,645,0,0,10877,12309,15945
505,Clark,OH,134585,48871,54278,8035,15750,15238,16994,14885,7223,3849,134585,122051,14938,961,1487,0,451,15133,19083,18395
605,Fairfield,OH,155782,57898,59283,8877,18056,20094,22014,14690,7815,2170,155782,142354,15161,1650,3432,0,409,18937,22545,20584
606,Greene,OH,167995,64310,67081,13144,22296,19080,19755,17023,9750,2286,167995,148433,15582,1503,7124,0,951,17881,24264,22516
299,Delaware,OH,204826,70073,72950,12153,19556,30910,30176,16937,7736,2905,204826,182656,9650,852,16216,0,1757,27501,31883,25069
506,Mahoning,OH,229642,88708,93998,14540,25680,25278,28269,26506,13471,8163,229642,190335,40582,1805,3190,0,4410,24592,28105,35038
305,Canadian,OK,144447,50773,53286,8156,21698,20321,17553,11559,4558,2714,144447,123631,6908,11668,5273,0,7034,20525,20596,16767
74,Creek,OK,71604,26156,27578,3761,8554,8905,9141,7295,3369,1760,71604,60597,2502,11631,867,0,1450,9339,9477,10003
408,Pottawatomie,OK,72679,25991,29018,4930,9177,8940,9085,7143,2873,1805,72679,59495,3865,13396,755,209,565,8875,10431,9420
407,Oklahoma,OK,792582,256871,281927,52443,123640,102291,89612,64312,30063,13902,792582,581091,138396,51583,36210,2248,38680,115065,107287,93967
406,Comanche,OK,120422,47714,41472,11095,19343,14714,13931,8942,4408,1873,120422,89538,25253,12308,5257,1405,4775,15199,16991,13926
509,Cleveland,OK,281669,104939,107302,26558,45511,37303,31100,22723,10759,3826,281669,233436,18999,23841,16594,296,8922,33041,38320,32528
510,Muskogee,OK,68362,24035,26394,4586,8351,8401,8542,6256,3586,1478,68362,45243,8855,17974,250,0,3306,8510,9734,8918
75,Payne,OK,82040,32273,30636,14944,11136,8320,6720,6554,3085,1341,82040,72204,3949,7247,4386,0,256,8823,13297,7820
76,Rogers,OK,91984,34178,35290,5649,11283,11593,12046,8932,4481,1574,91984,76049,2106,19326,1828,0,619,11377,12297,12752
77,Tulsa,OK,648360,215602,236431,40989,95003,83609,76971,55676,26668,10975,648360,504709,81431,72117,26143,977,17397,90175,90000,78294
799,Wagoner,OK,80110,28539,30092,4529,9734,10452,10476,8011,4001,959,80110,66194,4025,12896,1625,0,2321,10083,11419,10446
513,Klamath,OR,67653,24800,25611,3666,8685,7027,7558,8974,4055,1581,67653,61063,1144,5070,1244,0,2204,8655,8396,9056
511,Clackamas,OR,416075,151265,160278,22078,52054,54875,55735,45498,20725,8426,416075,379525,7767,7736,25765,2755,12459,46376,51532,58776
512,Deschutes,OR,191996,72190,75214,8768,23689,26001,25872,24256,9738,4754,191996,185559,1045,3718,5218,320,2278,20033,22295,26590
611,Washington,OR,597695,196170,208933,36216,94460,88738,79372,49120,21653,9604,597695,480208,19976,9464,80745,8241,34164,74703,74982,68847
800,Linn,OR,127335,46606,48548,7796,17250,15231,15338,14633,6884,3069,127335,117321,1751,4936,2422,694,7649,15242,15164,16728
801,Marion,OR,346868,117138,116278,23452,47437,43378,41615,31067,15840,6568,346868,287609,8368,11201,11175,4234,42502,44775,50182,42554
707,Yamhill,OR,107002,39544,41142,7567,13187,14715,12354,10561,5102,2161,107002,98874,457,2788,3046,1727,4047,12700,14812,13843
78,Lane,OR,379611,145166,152036,35226,48399,47608,42556,45031,21091,7578,379611,344197,8188,11893,17561,3668,17528,36776,45509,49837
608,Benton,OR,92101,35646,35703,15363,12549,9316,8535,9072,4359,1412,92101,81936,2088,3014,8351,304,1444,7231,13771,10493
609,Josephine,OR,87393,33191,35685,2931,10416,8588,10248,13302,7637,1924,87393,84208,837,2814,1474,613,0,8736,10065,13546
610,Umatilla,OR,77516,26930,24585,4867,10282,10047,9131,7002,3675,1245,77516,68837,1133,4433,1211,125,4011,10800,11123,9344
188,Jackson,OR,219564,79987,87051,13224,27960,24249,26291,29037,13570,6082,219564,207280,3226,6412,5789,818,3529,24475,23936,30740
187,Douglas,OR,110283,42592,45013,4930,11894,11727,12987,16235,9408,2281,110283,105374,939,4355,2155,427,2062,11228,12389,17204
802,Polk,OR,85234,29519,33172,8172,10215,9623,10105,8899,4835,1566,85234,75993,430,4253,2752,0,4947,9063,12750,10006
706,Multnomah,OR,811880,298071,308328,46492,152566,134084,106438,68421,28799,11642,811880,674690,59459,19720,79948,7315,15024,87111,82999,93328
612,Beaver,PA,164742,63666,68221,8519,19414,18063,21706,19774,11108,4737,164742,153368,13243,1364,1339,219,1347,17525,17230,26666
615,Delaware,PA,564751,197036,222054,38339,73791,68574,71649,51559,26268,14624,564751,399648,133949,4819,37936,819,4480,68625,72409,78913
614,Columbia,PA,65456,25469,27715,7595,6614,6726,8296,7264,3334,2114,65456,62053,1505,0,880,0,1163,6429,7938,9146
613,Carbon,PA,64227,25185,26128,3205,7034,7204,9618,7838,3765,1781,64227,62410,1395,0,1038,0,0,5387,7987,10408
616,Lackawanna,PA,210793,76714,84719,11693,26616,23740,27317,23139,12367,6370,210793,196723,9193,1172,7395,328,3200,22780,26661,30110
617,Lawrence,PA,86184,33090,35823,4671,9396,9529,11041,10444,6662,1872,86184,81868,4931,499,741,0,0,8412,10583,13574
809,Monroe,PA,169507,64669,67340,11204,20665,17912,23888,16994,8563,2571,169507,131876,29826,1982,5042,0,5659,16347,23464,27899
307,Lehigh,PA,368100,130391,139304,24411,49010,45181,47409,34924,17110,10260,368100,302892,35746,4916,16002,720,26461,44708,47833,47254
514,Clearfield,PA,79388,32040,30739,4240,9493,9636,11419,8954,5196,2117,79388,76573,2938,604,693,0,468,7866,8209,12258
409,Armstrong,PA,65263,26364,26472,3370,6829,7188,9115,7953,4443,1881,65263,64367,693,351,284,0,0,6482,7206,10796
410,Blair,PA,122492,46581,51286,6721,14683,13879,16548,14160,8188,3145,122492,118496,3980,916,991,0,193,13646,13752,17770
411,Crawford,PA,85063,32459,34706,5358,9199,9047,10973,10388,5476,1692,85063,83420,1564,1237,819,0,522,8924,11313,12693
412,Fayette,PA,130441,51516,53416,6704,16339,14970,17514,15618,8152,3922,130441,123417,8101,1047,691,0,642,13810,13310,20102
710,Cambria,PA,131730,52184,54061,8065,13671,13903,16816,16239,9060,4365,131730,125730,6455,720,1177,339,639,12265,16803,20543
515,Philadelphia,PA,1584138,524169,614985,111614,301903,199370,181368,123995,65590,26170,1584138,666718,692947,15721,132326,3514,138382,197778,191475,184875
709,Berks,PA,420152,152595,158866,27433,51764,47962,56659,40863,20592,10860,420152,360450,29718,2493,7380,723,33845,49556,57261,57202
808,Luzerne,PA,317646,119357,123471,19189,40185,36324,43083,35297,19472,8590,317646,283980,20366,1313,5869,570,13220,31217,39822,44467
807,Erie,PA,272061,101711,106604,17905,35722,30696,33416,28015,13843,7068,272061,241890,26078,2387,6068,0,3964,30723,36083,38590
806,Dauphin,PA,277097,98186,108909,16753,37513,32671,36313,26977,13457,6384,277097,198850,61885,1624,15969,0,7353,33877,34268,38884
805,Centre,PA,162805,67065,62136,28201,22279,16438,17770,12935,7204,2676,162805,144155,6727,585,12101,176,980,12806,23851,18645
804,Butler,PA,187888,72652,75812,10822,21603,21770,26407,19769,9562,5618,187888,181960,3822,646,3517,0,781,18750,24184,29403
803,Bucks,PA,628195,232925,247564,36396,68976,74259,89666,66697,36900,13463,628195,558627,32918,952,37271,1564,11917,62483,79661,99694
708,Allegheny,PA,1218452,454826,504085,75482,187387,143427,146536,127349,68737,33833,1218452,1000184,180319,8430,56657,561,8526,123191,136494,176016
711,Lancaster,PA,543557,194753,208055,33386,70701,61646,65562,53268,33350,12133,543557,487499,31828,3163,16278,0,17646,67636,75765,70110
810,Northampton,PA,304807,114079,119852,21069,35011,34738,41429,31706,17689,8268,304807,268016,24535,1706,11001,0,9282,31015,40027,43855
811,Washington,PA,207346,80441,85653,12340,23260,23846,27637,24150,13601,4395,207346,197597,9224,1130,2984,0,212,22315,23420,32382
308,Northumberland,PA,91083,36983,35770,4645,11099,10779,11952,10918,5515,3214,91083,86936,3987,369,611,0,1342,10241,9147,13573
194,York,PA,448273,166355,173591,25909,54554,53971,61573,45351,23095,9692,448273,406613,34783,5854,8606,0,8700,52222,58198,63708
193,Somerset,PA,73952,31421,28983,3710,8361,8899,10298,9063,5486,1976,73952,71170,2326,705,441,0,460,7104,7334,11721
192,Montgomery,PA,828604,294096,322146,47230,103721,103730,112393,80682,44517,21958,828604,670567,89297,3797,72567,953,15578,94179,103207,116987
191,Mercer,PA,110683,43578,45513,7252,11569,12015,14174,13190,6790,4010,110683,102765,7840,794,1225,0,735,10596,14180,16907
190,Indiana,PA,84501,34330,34290,9427,8925,8075,9760,9219,4999,2405,84501,81418,2914,624,1060,0,296,7983,11413,12295
189,Franklin,PA,154835,56432,60137,7580,19914,18472,19929,16513,9494,3936,154835,147106,7729,1479,2347,0,1521,17518,20831,20648
712,Schuylkill,PA,142067,58186,54926,6977,18317,15892,20461,16243,8488,4148,142067,134246,6219,834,1147,0,1471,13124,17523,20894
713,Westmoreland,PA,350611,138302,146293,18095,37323,37976,48736,44074,24592,10770,350611,336462,12180,1425,4382,206,1277,32985,38430,57630
79,Adams,PA,102811,38429,40451,6321,11029,10865,14860,11840,6505,2289,102811,98648,2565,781,1159,0,1766,10225,13866,15011
80,Cumberland,PA,251423,95187,99297,18409,31787,29611,32656,26506,14122,6140,251423,227090,14310,1653,13312,185,4048,27155,31035,34002
81,Lebanon,PA,141314,52053,54686,7621,15923,16944,18472,15166,8394,4149,141314,123635,5114,0,2588,0,11825,16650,19297,18698
82,Lycoming,PA,113664,43107,46294,6012,14857,12289,14375,12212,7388,2301,113664,106841,6766,711,1049,0,683,11832,15839,16559
306,Chester,PA,522046,182293,195067,31943,60666,64719,72819,49622,25005,10541,522046,452987,38006,2139,33468,0,8174,62940,70434,73357
836,Ponce Municipio,PR,133191,50615,56205,9533,16644,14910,15744,16151,9955,3280,133191,112668,11499,497,0,0,10810,13618,15709,17647
835,Bayamón Municipio,PR,170480,63471,74324,11757,22995,20211,21258,18532,12892,6094,170480,142925,39280,253,155,0,10538,14194,19855,22692
736,Guaynabo Municipio,PR,83787,31539,37257,5816,10530,10307,11232,9840,6509,2483,83787,68059,13020,577,0,0,8635,6504,8265,12301
838,Toa Baja Municipio,PR,74623,27462,32285,5050,9637,9840,9486,8192,4787,1744,74623,61171,10854,0,0,0,5408,6552,9555,9780
537,San Juan Municipio,PR,320967,109842,136270,21909,39546,37676,41007,36817,24554,12012,320967,219447,59067,2628,1285,241,55752,29165,35108,43173
538,Trujillo Alto Municipio,PR,63746,23423,27886,4505,8029,8452,8699,6968,3788,1562,63746,51284,8599,0,0,0,3618,5908,7578,8257
536,Carolina Municipio,PR,147661,53220,63867,10052,18073,18242,19681,17041,11762,4607,147661,84091,22457,679,505,0,43215,13504,16569,18130
837,Toa Alta Municipio,PR,71094,26827,30050,5264,9655,9687,10661,6095,2334,1881,71094,63984,6577,0,0,0,2026,6700,9495,9322
540,Mayagüez Municipio,PR,71986,27755,31375,7922,7956,6820,7541,8811,6553,2139,71986,16180,3380,0,0,0,53983,6425,8845,8974
539,Arecibo Municipio,PR,82114,31530,35696,5731,9940,9803,11276,9651,6622,1703,82114,56699,4574,0,736,0,20608,7016,9771,10601
224,Caguas Municipio,PR,124434,45662,54931,8306,15559,15858,16801,13580,8772,3167,124434,99268,12144,0,400,0,14115,10628,15592,16171
813,Washington,RI,126179,49892,53536,11440,12353,11696,16619,15612,7323,3220,126179,119256,3022,1543,3443,0,2757,10119,17390,20407
812,Newport,RI,82542,33333,33720,4856,11228,8379,10815,10725,6116,1798,82542,75963,4135,1477,2207,984,997,6334,9736,12555
83,Kent,RI,163861,62136,68183,9865,21004,19391,24262,17708,8777,4434,163861,152598,4462,1688,5461,0,2386,16504,16808,25108
195,Providence,RI,636084,221105,242517,46738,97462,78855,81505,54020,28037,15326,636084,486778,74140,6997,32246,1357,59547,73850,77684,82607
520,Pickens,SC,124937,48260,50008,14756,14672,13348,15621,11813,7077,1799,124937,111833,10056,584,2978,0,1185,12198,18528,15125
715,Spartanburg,SC,313888,110865,121309,20858,42590,36913,41762,29925,15711,4542,313888,236671,68075,2561,9109,478,5164,37513,43555,40519
816,Oconee,SC,78374,30491,32033,4740,8681,7366,9248,11362,5789,1482,78374,71430,6718,1367,1104,0,0,8648,8604,12454
815,Laurens,SC,66994,23811,27227,4290,7351,8035,8854,7864,4265,497,66994,49170,17382,362,0,0,1632,7120,9641,9077
814,Kershaw,SC,65592,23735,25950,3653,5389,8492,9636,7416,3119,1393,65592,49273,16714,0,605,0,1547,7828,9218,9448
518,Horry,SC,344147,128566,144068,17007,40550,38151,40789,55355,21925,5951,344147,286437,48359,4309,6024,0,3661,32652,38406,53361
85,Sumter,SC,106512,38166,42668,7518,14955,12171,12835,10268,5428,1872,106512,51266,54847,0,2069,0,1329,13191,14864,13410
517,Greenwood,SC,70741,24106,29565,5077,7691,8504,9434,6891,4400,1704,70741,45701,23996,0,496,0,1707,7526,10407,9107
516,Charleston,SC,405905,148957,165230,25041,68055,54309,47935,41190,16652,8256,405905,285831,111340,2754,9343,0,3871,44662,46053,53752
519,Lancaster,SC,95380,34140,38102,3547,10469,14077,11675,11944,6062,1629,95380,71946,21459,2798,1606,0,1037,11669,12344,11964
817,Orangeburg,SC,86934,31337,36480,6487,10812,9379,10328,10063,5250,1553,86934,32264,54156,879,838,0,412,9217,11887,11958
619,Darlington,SC,66802,24091,27596,4808,6452,8024,7828,7784,3803,1053,66802,39115,27948,0,380,0,0,6129,11501,9420
620,Florence,SC,138159,46812,57624,7764,17927,16500,17893,14311,7103,1984,138159,74356,60986,1159,2295,0,2615,16652,20337,17688
84,Berkeley,SC,221091,79239,82618,14011,32847,29123,28160,19795,8466,2548,221091,154168,56207,2593,7734,716,8498,31533,27623,26985
714,Dorchester,SC,160647,56645,61345,9063,20598,23475,20725,14149,6307,1983,160647,112060,42727,2341,4712,0,5607,22545,21508,20294
309,Greenville,SC,514213,174274,193497,33223,71604,65414,67556,48406,23827,8754,514213,384256,97057,8789,16009,1863,20241,63935,66399,65095
310,Lexington,SC,295032,104269,115222,15240,40514,38470,39856,28755,13092,4925,295032,238343,48024,2727,7473,716,6099,36026,38716,39438
413,York,SC,274118,95078,106959,15927,33711,37618,38994,24750,11720,2894,274118,207431,55291,3638,7815,0,5248,36598,37365,34541
196,Anderson,SC,200482,72153,79581,12510,24051,23769,26237,21431,11481,3018,200482,165407,34501,1543,2508,0,3494,24096,26753,27136
197,Beaufort,SC,188715,71418,74385,12727,20276,19864,17880,30321,16938,4276,188715,143497,35650,1698,3257,0,9385,19326,21326,25781
621,Richland,SC,414576,150852,165452,45491,60731,51430,48603,33194,14078,5606,414576,196058,205260,4505,15117,0,12084,49237,59178,47028
618,Aiken,SC,169401,61231,68127,9833,20111,19624,20818,19572,9273,3900,169401,122514,45150,509,2507,0,1261,20376,21253,24641
311,Pennington,SD,111729,42141,42774,6274,15503,12316,13023,12496,5150,2828,111729,97382,3169,14665,2270,0,465,12555,15521,16063
198,Minnehaha,SD,192876,68115,67531,11500,29376,25601,23435,15728,5864,3762,192876,169233,15160,7156,5581,0,1561,28017,25817,23776
87,Hamilton,TN,364286,130885,147320,22804,52159,44643,46475,37068,18651,7878,364286,283702,74014,2832,9330,1399,3132,41984,43447,49177
414,Madison,TN,97605,33943,39759,7192,12724,10893,12231,9864,4487,2230,97605,56466,38110,394,1488,0,2660,11399,13344,13241
88,Robertson,TN,71012,25094,27189,3998,9238,8508,10013,6282,3244,604,71012,62741,6041,1831,558,0,2104,8883,9822,10420
89,Washington,TN,128607,48043,51869,11632,15933,15253,16937,13610,6928,2967,128607,119521,6923,876,2757,0,1689,12341,15859,17147
202,Williamson,TN,231729,78231,83114,10904,21055,35202,34914,19230,9567,1986,231729,209594,11481,0,13092,880,998,31037,38451,29383
201,Sumner,TN,187149,66495,72472,9746,22876,24774,26917,17579,8341,3459,187149,165881,16304,2313,3500,946,4296,24342,23729,25386
200,Rutherford,TN,324890,114148,120432,29552,47444,46442,42260,21357,9554,2634,324890,254218,56621,2467,13494,0,8604,45885,44569,35193
199,Montgomery,TN,205950,73331,74947,17345,38964,26979,23224,10473,5800,2308,205950,148931,47486,2542,8159,2676,5419,31946,28878,20033
86,Davidson,TN,692587,235668,264094,49227,140164,95905,80739,51192,23309,9949,692587,451752,194562,5326,31086,1197,26309,86270,75783,80049
