,County,State,Total Pop.,VAP Males,VAP Females,Pop. 20 to 24,Pop. 25 to 34,Pop. 35 to 44,Pop. 45 to 54,Pop. 65 to 74,Pop. 75 to 84,Pop. 85+,Race Total Pop.,White,Black,Native,Asian,Islander,Other,Pop. 0 to 9,Pop. 10 to 19,Pop. 55 to 64
477,Saginaw,MI,190800,71486,77421,12893,22573,21459,23457,20874,10739,5153,190800,148559,38721,2941,3487,0,3079,21476,25455,26721
476,Lapeer,MI,88028,33946,33660,4986,9164,10031,12940,9971,4627,1369,88028,86286,1449,1170,784,0,0,8229,11899,14812
475,Genesee,MI,406892,148213,164776,25197,50698,46457,53886,41137,22518,7505,406892,317414,89441,5399,6230,547,3165,46634,54560,58300
474,Clinton,MI,79332,29333,30541,5304,9530,9789,10429,8301,4304,1015,79332,75914,2763,323,1676,0,130,8558,11032,11070
779,Marquette,MI,66516,26667,27005,7707,7497,7023,7361,7517,3807,1500,66516,63806,1412,2038,859,0,462,7322,7678,9104
778,Livingston,MI,191224,74327,74780,10596,20623,21679,29333,20546,9677,2895,191224,186265,2025,1718,2748,0,624,20086,25362,30427
777,Isabella,MI,70562,27819,29485,13352,8202,7026,7371,5388,2716,990,70562,62664,2731,3797,1789,0,1425,6226,11654,7637
776,Calhoun,MI,134487,48608,53073,7752,16799,15349,17611,13532,6792,3723,134487,114887,17810,1939,4571,0,1235,16911,17594,18424
775,Berrien,MI,154141,55960,60300,9015,17258,17740,19456,17326,8456,4686,154141,127319,24903,1685,4166,0,2055,18101,19590,22513
380,Ingham,MI,292735,105059,113963,37289,41708,32877,31215,24438,9619,5759,292735,232438,43493,5054,24032,0,5780,32457,44422,32951
158,Macomb,MI,874759,319145,343989,53532,117326,105190,122624,85055,45260,18692,874759,721702,115491,8115,43231,789,6532,101640,100215,125225
579,Van Buren,MI,75448,27403,28587,4365,7574,8859,10186,8497,4219,1373,75448,67282,4555,1530,368,0,4570,9440,9661,11274
580,Washtenaw,MI,370963,135671,143343,48404,53605,42252,43204,31650,14190,5935,370963,285780,50697,4908,40621,495,4532,36157,53766,41800
581,Wayne,MI,1753893,600489,671520,111194,249565,205384,228836,158195,78890,33176,1753893,970422,698817,18155,73166,1655,39414,227548,227427,233678
680,Monroe,MI,150439,57601,60134,8564,18192,17043,20307,16071,7734,3738,150439,145527,5220,1223,1534,0,1094,16880,18633,23277
679,Midland,MI,83209,30738,32652,4522,10323,9572,11299,8670,4600,2269,83209,79165,1606,753,2194,0,430,9672,10646,11636
160,Rice,MN,66523,24575,23506,5692,7261,7875,7875,5870,2713,1714,66523,58007,4350,576,2000,0,2417,7092,11831,8600
47,Olmsted,MN,156277,53280,58256,9094,21943,20757,18795,13199,7613,3483,156277,134433,11709,547,11804,0,2114,20680,20378,20335
48,St. Louis,MN,199754,79830,80299,18224,23156,22083,22809,22338,10563,5692,199754,190937,5175,6788,3171,235,687,20401,24749,29739
49,Sherburne,MN,96036,35077,33534,5976,13345,13580,13641,6640,2593,1360,96036,90383,3813,1230,1773,0,733,13896,13298,11707
479,Wright,MN,136349,48656,48828,6864,16243,18679,19348,10215,5507,1400,136349,131372,3233,944,2723,0,1528,19251,21998,16844
683,Washington,MN,259201,92894,96851,13374,30280,36496,34925,23389,11160,4175,259201,226472,15891,3220,18618,0,2648,33307,35887,36208
159,Hennepin,MN,1259428,443116,458766,78351,213915,172345,153436,103695,49288,23877,1259428,945966,192168,21049,109014,2428,42005,157841,147502,159178
